method,metric,n,mean,old_lo,old_hi,circ_lo,circ_hi
random_floor,hit_at_3_in_top10,48,0.004166666666666667,0.0010416666666666667,0.0076388888888888895,0.001388888888888889,0.007291666666666666
random_floor,precision_at_3,48,0.0024305555555555556,0.0010416666666666667,0.004861111111111111,0.0006944444444444445,0.004513888888888889
random_floor,precision_at_10,48,0.003541666666666667,0.002916666666666667,0.004166666666666667,0.002916666666666667,0.0040625
random_floor,ndcg_at_10,48,0.4029600748959122,0.3883833454876884,0.40995350781537193,0.389601305914225,0.41969863643565586
random_floor,spearman_rho,48,0.0005298875286060815,-0.0005054248163565819,0.0017836186205344277,-0.00082959523786927,0.0016506740497347339
random_floor,wmape,48,0.48432352984093674,0.4786999902429235,0.5021124929007589,0.46582056876679107,0.4997893406661885
random_floor,demand_capture_at_3,48,0.08365205028970722,0.07728246059529165,0.09180479870061943,0.07667161679965598,0.09263050667977045
random_floor,demand_capture_at_10,48,0.09998781550676643,0.0926107039809799,0.10412414817892547,0.09297869188415311,0.10844416800040235
random_floor,demand_capture_at_20,48,0.11417286369511633,0.10615658464406662,0.11800717174028276,0.1068060253956706,0.12437594699355262
random_floor,tolerance_hit_at_3,48,0.0024305555555555556,0.0010416666666666667,0.004861111111111111,0.0006944444444444445,0.004513888888888889
seasonal_naive,hit_at_3_in_top20,42,0.39682539682539675,0.23015873015873015,0.619047619047619,0.23809523809523808,0.5873015873015872
seasonal_naive,hit_at_3_in_top10,42,0.3174603174603175,0.18253968253968253,0.4920634920634921,0.18253968253968253,0.4761904761904761
seasonal_naive,precision_at_3,42,0.07936507936507937,0.0,0.20634920634920634,0.007936507936507936,0.1746031746031746
seasonal_naive,precision_at_10,42,0.18095238095238095,0.11428571428571428,0.2761904761904762,0.11666666666666665,0.26190476190476186
seasonal_naive,ndcg_at_10,42,0.7602332361928011,0.658746478938002,0.8295778279330696,0.6768535392374798,0.8369480737509266
seasonal_naive,spearman_rho,42,0.5396181217780386,0.4924945148261163,0.5791645623944528,0.49803111902059033,0.5835473592078307
seasonal_naive,wmape,42,0.1902657342685267,0.18212953586154998,0.20364615274328896,0.1790939725324475,0.20185715887880495
seasonal_naive,demand_capture_at_3,42,0.46120311507000755,0.29150178871474175,0.6517923965227073,0.31086946581146324,0.6356873435332826
seasonal_naive,demand_capture_at_10,42,0.4565826611192841,0.3583020315415864,0.5338043633503355,0.3751312792369853,0.5347809563832393
seasonal_naive,demand_capture_at_20,42,0.47313826252261637,0.4026552207664255,0.523155397987364,0.4105668502849619,0.5379962200345539
seasonal_naive,tolerance_hit_at_3,42,0.15873015873015872,0.0,0.39702380952380845,0.007936507936507936,0.35714285714285715
