origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-12-30,ewma_persistence,true,true,3012,3012,0.0,0.0,0.0,0.1,0.8269091521710996,0.6504276476025308,0.19304669322263018
2019-12-30,parent_category_mean,true,true,3012,3012,0.0,0.0,0.0,0.0,0.5711493170489473,0.2785361909932424,0.24546065656004654
2019-12-30,global_mean,true,true,3012,3012,0.0,0.0,0.0,0.0,0.18537446606118219,NaN,0.3111075670875756
2020-01-06,seasonal_naive,true,true,3010,2855,0.0,0.0,0.0,0.1,0.6684544512446018,0.4832000125939654,0.20496718054266932
2020-01-06,ewma_persistence,true,true,3010,3010,0.0,0.0,0.0,0.1,0.8240703966257396,0.6425462906666346,0.18236814533813617
2020-01-06,parent_category_mean,true,true,3010,3010,0.3333333333333333,0.0,0.0,0.1,0.6214095466190502,0.28412801215080175,0.23843803142611641
2020-01-06,global_mean,true,true,3010,3010,0.0,0.0,0.0,0.0,0.18358153694428078,NaN,0.30282697345847526
2020-01-13,seasonal_naive,true,true,3009,2860,0.0,0.0,0.0,0.0,0.6409617909186399,0.48761796225536524,0.20470683898195643
2020-01-13,ewma_persistence,true,true,3009,3009,0.0,0.0,0.0,0.1,0.811453570540269,0.6331657997821578,0.18329266646682893
2020-01-13,parent_category_mean,true,true,3009,3009,0.3333333333333333,0.0,0.0,0.1,0.6327347837074252,0.28562141662535884,0.24019556935920952
2020-01-13,global_mean,true,true,3009,3009,0.0,0.0,0.0,0.0,0.1807914687157554,NaN,0.3000232728156991
2020-01-20,seasonal_naive,true,true,3007,2865,0.0,0.0,0.0,0.1,0.6980210600133201,0.4980114334609007,0.20358867778814868
2020-01-20,ewma_persistence,true,true,3007,3007,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.8419204714004429,0.6251034576997421,0.18946579449346665
2020-01-20,parent_category_mean,true,true,3007,3007,0.3333333333333333,0.3333333333333333,0.0,0.2,0.6414810063173894,0.2893985544104125,0.24596372129182387
2020-01-20,global_mean,true,true,3007,3007,0.0,0.0,0.0,0.0,0.17950854441162645,NaN,0.31169507532088087
2020-01-27,seasonal_naive,true,true,3008,2870,0.3333333333333333,0.3333333333333333,0.0,0.2,0.6545180580844231,0.5049088538801623,0.2029860862960392
2020-01-27,ewma_persistence,true,true,3008,3008,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8479899717277076,0.6135361866956681,0.19361131485002914
2020-01-27,parent_category_mean,true,true,3008,3008,0.3333333333333333,0.3333333333333333,0.0,0.2,0.6252867395404417,0.291042599489461,0.24871820094803915
