construction,method,metric,n_origins,mean,ci_lo,ci_hi
ratio,global_mean,ndcg_at_10,41,0.6984603993542745,0.667564097284338,0.779182280886546
ratio,global_mean,precision_at_10,41,0.351219512195122,0.32195121951219513,0.45609756097560983
ratio,global_mean,precision_at_3,41,0.2764227642276423,0.23577235772357721,0.40650406504065034
ratio,global_mean,spearman_rho,41,0.4136461389697673,0.3233705123704775,0.5306234528491056
ratio,global_mean,wmape,41,0.5269876718634627,0.4857241014305876,0.5627474606940958
ratio,lightgbm,hit_at_3_in_top10,41,0.5284552845528455,0.4796747967479674,0.6422764227642276
ratio,lightgbm,hit_at_3_in_top20,41,0.7073170731707317,0.6504065040650406,0.8617886178861788
ratio,lightgbm,ndcg_at_10,41,0.7512354039789954,0.7079754917261527,0.812481815079057
ratio,lightgbm,precision_at_10,41,0.424390243902439,0.3682926829268293,0.5121951219512195
ratio,lightgbm,precision_at_3,41,0.3008130081300813,0.25203252032520324,0.39837398373983735
ratio,lightgbm,spearman_rho,41,0.589318457418796,0.49179448896619343,0.7163229462901127
ratio,lightgbm,wmape,41,0.33623331530747363,0.2935874125612266,0.3547598694710043
ratio,parent_category_mean,hit_at_3_in_top10,41,0.5040650406504065,0.47154471544715443,0.6991869918699185
ratio,parent_category_mean,hit_at_3_in_top20,41,0.6260162601626016,0.5853658536585366,0.8373983739837397
ratio,parent_category_mean,ndcg_at_10,41,0.7023303512100547,0.6702325889512923,0.781712691754323
ratio,parent_category_mean,precision_at_10,41,0.36097560975609755,0.3341463414634147,0.4634146341463415
ratio,parent_category_mean,precision_at_3,41,0.2764227642276423,0.2439024390243902,0.39024390243902435
ratio,parent_category_mean,spearman_rho,41,0.40447284390270133,0.30705012729780673,0.5213347567127993
ratio,parent_category_mean,wmape,41,0.457596834898398,0.43508973897644276,0.47247909518979003
ratio,seasonal_naive,hit_at_3_in_top10,41,0.6260162601626017,0.5853658536585366,0.6991869918699186
ratio,seasonal_naive,hit_at_3_in_top20,41,0.7642276422764227,0.7073170731707317,0.8943089430894309
ratio,seasonal_naive,ndcg_at_10,41,0.7789458476190447,0.7416940054899533,0.7986504862543357
ratio,seasonal_naive,precision_at_10,41,0.4853658536585366,0.44390243902439025,0.5439024390243902
ratio,seasonal_naive,precision_at_3,41,0.40650406504065034,0.3008130081300813,0.4715447154471544
ratio,seasonal_naive,spearman_rho,41,0.6266095720218596,0.5987158480619984,0.7014446414678154
ratio,seasonal_naive,wmape,41,0.4180494721102525,0.3833957610441566,0.46227163788916786
residual,ewma_persistence,hit_at_3_in_top10,41,0.5203252032520325,0.45508130081300807,0.6991869918699187
residual,ewma_persistence,hit_at_3_in_top20,41,0.6829268292682927,0.5691056910569106,0.9674796747967479
residual,ewma_persistence,ndcg_at_10,41,0.6497931265411745,0.5783275601903044,0.7658502975072398
residual,ewma_persistence,precision_at_10,41,0.3390243902439025,0.2633536585365853,0.4854268292682924
residual,ewma_persistence,precision_at_3,41,0.2682926829268293,0.25203252032520324,0.35772357723577236
residual,ewma_persistence,spearman_rho,41,0.19514462830821044,0.10396527296727691,0.3591358734392621
residual,ewma_persistence,wmape,41,1.0126643965542759,1.001702087885179,1.0280847257589318
residual,global_mean,hit_at_3_in_top10,41,0.3739837398373984,0.34146341463414637,0.5447154471544716
residual,global_mean,hit_at_3_in_top20,41,0.47154471544715454,0.4552845528455284,0.6504065040650406
residual,global_mean,ndcg_at_10,41,0.6074628320707415,0.5982860568243773,0.6752682398756561
residual,global_mean,precision_at_10,41,0.3048780487804878,0.28530487804878046,0.39999999999999997
residual,global_mean,precision_at_3,41,0.22764227642276424,0.2113821138211382,0.3170731707317073
residual,global_mean,spearman_rho,41,0.19331758557920845,0.13807142120204186,0.2612709256435337
residual,global_mean,wmape,41,1.0042473074810099,1.0021196373183126,1.0082768230877817
residual,lightgbm,hit_at_3_in_top10,41,0.4796747967479674,0.40650406504065034,0.5772357723577236
residual,lightgbm,hit_at_3_in_top20,41,0.6991869918699186,0.6260162601626017,0.8536585365853658
residual,lightgbm,ndcg_at_10,41,0.7179755760543916,0.6831025792317482,0.769489323407234
residual,lightgbm,precision_at_10,41,0.37317073170731707,0.32439024390243903,0.4439024390243903
residual,lightgbm,precision_at_3,41,0.2845528455284553,0.17886178861788618,0.37398373983739835
residual,lightgbm,spearman_rho,41,0.42659847260240924,0.34862754128101164,0.5185419009970694
residual,lightgbm,wmape,41,1.003869815196892,1.0023449413384784,1.0067846779780503
residual,parent_category_mean,hit_at_3_in_top10,41,0.40650406504065034,0.35772357723577236,0.5853658536585366
residual,parent_category_mean,hit_at_3_in_top20,41,0.47967479674796754,0.4308943089430894,0.6910569105691057
residual,parent_category_mean,ndcg_at_10,41,0.6182045331473287,0.6077068796941404,0.6849658996190202
residual,parent_category_mean,precision_at_10,41,0.3195121951219513,0.30000000000000004,0.4073170731707316
residual,parent_category_mean,precision_at_3,41,0.23577235772357721,0.21951219512195122,0.31707317073170727
residual,parent_category_mean,spearman_rho,41,0.20619768113822554,0.14839294742741965,0.2775008891180079
residual,parent_category_mean,wmape,41,1.007015597898234,1.0035761439189423,1.0127791084988569
residual,seasonal_naive,hit_at_3_in_top10,41,0.6097560975609755,0.5772357723577235,0.6747967479674797
residual,seasonal_naive,hit_at_3_in_top20,41,0.7479674796747967,0.6747967479674796,0.8943089430894309
residual,seasonal_naive,ndcg_at_10,41,0.7536738518181197,0.7091483173303185,0.7731987708155654
residual,seasonal_naive,precision_at_10,41,0.45609756097560983,0.40975609756097564,0.5073170731707316
residual,seasonal_naive,precision_at_3,41,0.4146341463414634,0.3008130081300813,0.47154471544715443
residual,seasonal_naive,spearman_rho,41,0.4230463958741056,0.3698025828315234,0.4563211505814019
residual,seasonal_naive,wmape,41,1.112850871139347,1.0859111856542858,1.165677626308574
