rank,feature,group,mean_abs_shap,shap_spearman,n_valid,share,n_train_origins,n_train_rows
52,lag_4,existing,0.000997002100462454,0.09748384285371013,47863,0.0007455373695263351,16,48003
53,cust_repeat_share_slope_13w,customer_u1,0.0007675832308705333,-0.5454268287555362,16087,0.0005739827253827272,16,48003
54,cust_club_active_share_slope_13w,customer_u1,0.0007482521602893777,0.4266804706620245,35145,0.0005595273541207031,16,48003
55,cust_age_median,customer_u1,0.0007448356343985622,-0.5872008996598551,45132,0.0005569725473410827,16,48003
56,pr_discount_depth_13w,price_u2,0.0006899052563126778,-0.7620577347316827,13060,0.0005158967566619642,16,48003
57,cust_fn_engaged_share_slope_13w,customer_u1,0.0005624523641446062,-0.6588103947209669,35134,0.00042059014304356477,16,48003
58,cust_age_p25_slope_4w,customer_u1,0.00035990157345288867,-0.06480865946889852,41613,0.0002691268877327308,16,48003
59,cust_club_precreate_share_slope_4w,customer_u1,0.0003570761447872587,0.5898382554954623,41615,0.0002670140911256013,16,48003
60,cust_age_std_slope_13w,customer_u1,0.00022349000740036162,0.6205490070648377,35140,0.00016712116469504016,16,48003
61,cust_age_p75,customer_u1,0.00014890159689885595,0.7413714939324162,45132,0.000111345507515733,16,48003
62,cust_age_median_slope_4w,customer_u1,0.0,NaN,41613,0.0,16,48003
63,cust_age_median_shift_13w,customer_u1,0.0,NaN,35140,0.0,16,48003
64,cust_age_p25_slope_13w,customer_u1,0.0,NaN,35140,0.0,16,48003
65,cust_age_gini_slope_13w,customer_u1,0.0,NaN,35140,0.0,16,48003
66,cust_club_precreate_share_slope_13w,customer_u1,0.0,NaN,35145,0.0,16,48003
67,pr_discount_freq_13w,price_u2,0.0,NaN,13060,0.0,16,48003
68,pr_full_price_holding_ratio_13w,price_u2,0.0,NaN,11691,0.0,16,48003
