style_id,rule,article_index,clip_loo_sim,clip_threshold_full,clip_pair_max,clip_pass_full,clip_threshold_heldout,clip_pass_heldout,dinov2_loo_sim,dinov2_threshold_full,dinov2_pair_max,dinov2_pass_full,dinov2_threshold_heldout,dinov2_pass_heldout,joint_pass_full,joint_pass_heldout
Ladieswear || Sweater || Knitwear || Beige || Melange,median,0,0.9442545026540756,0.9298796057701111,0.984673023223877,false,0.9288116693496704,false,0.8684483468532562,0.8151490390300751,0.9485378861427307,false,0.8112562298774719,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,11,0.9469267651438713,0.9298796057701111,0.984673023223877,false,0.9285502433776855,false,0.8384162224829197,0.8151490390300751,0.9485378861427307,false,0.8123643398284912,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,12,0.9138466939330101,0.9298796057701111,0.984673023223877,true,0.9319823980331421,true,0.7513682544231415,0.8151490390300751,0.9485378861427307,true,0.8280474841594696,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,median,13,0.9435748048126698,0.9298796057701111,0.984673023223877,false,0.9288116693496704,false,0.8062175996601582,0.8151490390300751,0.9485378861427307,true,0.8117271661758423,true,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,14,0.938899002969265,0.9298796057701111,0.984673023223877,false,0.9288116693496704,false,0.8492671400308609,0.8151490390300751,0.9485378861427307,false,0.8111572861671448,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,15,0.8963196128606796,0.9298796057701111,0.984673023223877,true,0.9324639439582825,true,0.7645022533833981,0.8151490390300751,0.9485378861427307,true,0.8281019032001495,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,median,16,0.9150039851665497,0.9298796057701111,0.984673023223877,true,0.9318570792675018,true,0.8293368630111217,0.8151490390300751,0.9485378861427307,false,0.8123643398284912,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,0,0.9442545026540756,0.9664748013019562,0.984673023223877,true,0.9644054353237153,true,0.8684483468532562,0.9041306674480438,0.9485378861427307,true,0.8952787280082704,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,1,0.9221644252538681,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.7751553021371365,0.9041306674480438,0.9485378861427307,true,0.9089481234550476,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,2,0.9071753732860088,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.7012953497469425,0.9041306674480438,0.9485378861427307,true,0.9089481234550476,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,3,0.9309256300330162,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.7698527239263058,0.9041306674480438,0.9485378861427307,true,0.9089481234550476,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,4,0.947355467826128,0.9664748013019562,0.984673023223877,true,0.9645677149295807,true,0.855229776352644,0.9041306674480438,0.9485378861427307,true,0.9033683717250824,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,5,0.9435396492481232,0.9664748013019562,0.984673023223877,true,0.9644054353237153,true,0.8348657786846161,0.9041306674480438,0.9485378861427307,true,0.9033683717250824,true,true,true
