comparator,metric,n_paired,mean_diff,circ_lo,circ_hi,circ_se,ess_ac,ess_circ,mde_80,excludes_zero,old_lo,old_hi
random_floor,precision_at_10,48,0.16520833333333332,0.09676562499999998,0.2381640624999998,0.03700070768786751,14.21623872066597,12.097168940761733,0.10366063571804847,true,0.1363515625,0.2562526041666667
random_floor,ndcg_at_10,48,0.46625904024362236,0.41833931345018427,0.5025248233531288,0.021995052752469917,11.550753342835579,9.275865909766942,0.06162101466293468,true,0.4595167076618744,0.5066648708818778
random_floor,spearman_rho,48,0.7096330261964692,0.6278119601200072,0.7765784271518994,0.03916347909998813,5.617832429945652,7.3066349002421545,0.10971982413640292,true,0.6393195718808885,0.7795014951621149
random_floor,wmape,48,-0.3187835228666011,-0.35257673521281224,-0.2785264718230659,0.019318518570519288,7.497811355873856,7.042293287921606,0.054122476063007706,true,-0.35655938955346317,-0.30062497399097665
random_floor,demand_capture_at_3,48,0.48533092619653195,0.3726822551516243,0.5827897437451527,0.05533657333268891,10.86217746710024,9.584659156681127,0.15503012586988554,true,0.436448275836291,0.5961156147068306
random_floor,demand_capture_at_10,48,0.49756765250923096,0.4066354564512225,0.5710729298279572,0.04278515964556248,10.401519059387732,10.235449082717897,0.11986627081761134,true,0.4665892931028134,0.5827484656662204
random_floor,demand_capture_at_20,48,0.49955787717920686,0.4060501597561863,0.5736733964989856,0.04455199567592319,9.35964892887063,9.838265430207418,0.1248162125230993,true,0.45714831462474503,0.5832541758326997
random_floor,tolerance_hit_at_3,48,0.12951388888888887,-0.001388888888888889,0.2732725694444444,0.07026548857648846,12.866647339704521,12.100444411506343,0.1968547541393757,false,0.01909722222222222,0.29480034722222215
seasonal_naive,hit_at_3_in_top20,42,0.09523809523809526,-0.06349206349206349,0.24603174603174605,0.08256346151462811,15.310426540284357,16.1293976309594,0.23130857333562105,false,-0.03968253968253968,0.2777777777777778
seasonal_naive,hit_at_3_in_top10,42,2.64338815386942e-18,-0.09523809523809523,0.1349206349206349,0.05981030544418306,18.827586206896548,18.181630812213722,0.16756366762324484,false,-0.08730158730158728,0.1587301587301587
seasonal_naive,precision_at_3,42,-0.023809523809523808,-0.0873015873015873,0.03968253968253968,0.03275823073054929,32.962563237774035,32.28923487601524,0.09177497498624086,false,-0.10317460317460317,0.047619047619047616
seasonal_naive,precision_at_10,42,0.011904761904761908,-0.016666666666666666,0.04047619047619048,0.015274430551114358,41.71325186044924,42.0,0.04279261884709511,false,-0.023809523809523808,0.04523809523809524
seasonal_naive,ndcg_at_10,42,0.12959223747804227,0.06244235876655845,0.2077932277310489,0.03847690822079187,6.133737762375788,6.022962803224577,0.10779633731005984,true,0.07979014947855802,0.22599902486984708
seasonal_naive,spearman_rho,42,0.19989955771452939,0.16261870513465232,0.23547360779400694,0.01882462690639194,9.17995368370381,10.188582383192278,0.05273879647743932,true,0.19188678303052234,0.24072740499516923
seasonal_naive,wmape,42,-0.04121114202856945,-0.05419186821012172,-0.023933851833067094,0.008282477040252659,8.511919225521744,10.427962416186665,0.023204065245331897,true,-0.0546789506446948,-0.03394688860257966
seasonal_naive,demand_capture_at_3,42,0.14954473396735984,0.022632118707671286,0.2905649213469054,0.06987826731216523,9.103480406485513,9.200980426093167,0.19576992076910874,true,0.03721905960716154,0.3192270134729889
seasonal_naive,demand_capture_at_10,42,0.18395376763984328,0.1311458384152812,0.24798653370169854,0.03191338155004575,11.580979257164843,11.032390807754883,0.0894080580106073,true,0.15025375768662325,0.26645491160337575
seasonal_naive,demand_capture_at_20,42,0.18511140433164877,0.13807208936864912,0.23549770844363693,0.025266044608047305,13.997969182530754,11.540543285770543,0.0707849770940882,true,0.1755098668235381,0.24473584092832915
seasonal_naive,tolerance_hit_at_3,42,-0.007936507936507936,-0.09523809523809523,0.09523809523809523,0.046605105045971804,30.40393160091557,28.66716026635905,0.13056817338539672,false,-0.10317460317460317,0.10317460317460317
