term,week_start,value
grey sweater,2019-12-16,91.0
grey sweater,2019-12-23,85.0
grey sweater,2019-12-30,75.0
grey sweater,2020-01-06,62.0
grey sweater,2020-01-13,68.0
grey sweater,2020-01-20,61.0
grey sweater,2020-01-27,59.0
grey sweater,2020-02-03,54.0
grey sweater,2020-02-10,51.0
grey sweater,2020-02-17,49.0
grey sweater,2020-02-24,50.0
grey sweater,2020-03-02,40.0
grey sweater,2020-03-09,37.0
grey sweater,2020-03-16,29.0
grey sweater,2020-03-23,27.0
grey sweater,2020-03-30,28.0
grey sweater,2020-04-06,31.0
grey sweater,2020-04-13,32.0
grey sweater,2020-04-20,31.0
grey sweater,2020-04-27,31.0
grey sweater,2020-05-04,30.0
grey sweater,2020-05-11,33.0
grey sweater,2020-05-18,33.0
grey sweater,2020-05-25,29.0
grey sweater,2020-06-01,25.0
grey sweater,2020-06-08,30.0
grey sweater,2020-06-15,31.0
grey sweater,2020-06-22,28.0
grey sweater,2020-06-29,27.0
grey sweater,2020-07-06,31.0
grey sweater,2020-07-13,31.0
grey sweater,2020-07-20,31.0
grey sweater,2020-07-27,35.0
grey sweater,2020-08-03,33.0
grey sweater,2020-08-10,33.0
grey sweater,2020-08-17,32.0
grey sweater,2020-08-24,38.0
grey sweater,2020-08-31,41.0
grey sweater,2020-09-07,45.0
grey sweater,2020-09-14,45.0
grey sweater,2020-09-21,52.0
grey sweater,2020-09-28,54.0
black sweater,2018-08-27,22.0
black sweater,2018-09-03,23.0
black sweater,2018-09-10,28.0
black sweater,2018-09-17,29.0
black sweater,2018-09-24,33.0
black sweater,2018-10-01,35.0
black sweater,2018-10-08,38.0
black sweater,2018-10-15,45.0
black sweater,2018-10-22,49.0
black sweater,2018-10-29,45.0
black sweater,2018-11-05,54.0
black sweater,2018-11-12,61.0
black sweater,2018-11-19,93.0
black sweater,2018-11-26,69.0
black sweater,2018-12-03,68.0
black sweater,2018-12-10,65.0
black sweater,2018-12-17,61.0
black sweater,2018-12-24,54.0
black sweater,2018-12-31,45.0
black sweater,2019-01-07,41.0
black sweater,2019-01-14,40.0
black sweater,2019-01-21,37.0
black sweater,2019-01-28,37.0
black sweater,2019-02-04,50.0
black sweater,2019-02-11,59.0
black sweater,2019-02-18,40.0
black sweater,2019-02-25,31.0
black sweater,2019-03-04,33.0
black sweater,2019-03-11,25.0
black sweater,2019-03-18,24.0
black sweater,2019-03-25,21.0
black sweater,2019-04-01,21.0
black sweater,2019-04-08,19.0
black sweater,2019-04-15,17.0
black sweater,2019-04-22,17.0
black sweater,2019-04-29,17.0
black sweater,2019-05-06,16.0
black sweater,2019-05-13,15.0
black sweater,2019-05-20,17.0
black sweater,2019-05-27,14.0
black sweater,2019-06-03,14.0
black sweater,2019-06-10,14.0
black sweater,2019-06-17,15.0
black sweater,2019-06-24,13.0
black sweater,2019-07-01,14.0
black sweater,2019-07-08,14.0
black sweater,2019-07-15,16.0
black sweater,2019-07-22,16.0
black sweater,2019-07-29,15.0
black sweater,2019-08-05,17.0
black sweater,2019-08-12,22.0
black sweater,2019-08-19,20.0
black sweater,2019-08-26,21.0
black sweater,2019-09-02,26.0
black sweater,2019-09-09,28.0
black sweater,2019-09-16,30.0
black sweater,2019-09-23,30.0
black sweater,2019-09-30,39.0
black sweater,2019-10-07,47.0
black sweater,2019-10-14,46.0
black sweater,2019-10-21,48.0
black sweater,2019-10-28,48.0
black sweater,2019-11-04,56.0
black sweater,2019-11-11,60.0
black sweater,2019-11-18,59.0
black sweater,2019-11-25,100.0
black sweater,2019-12-02,73.0
black sweater,2019-12-09,64.0
black sweater,2019-12-16,63.0
black sweater,2019-12-23,58.0
black sweater,2019-12-30,48.0
black sweater,2020-01-06,41.0
black sweater,2020-01-13,41.0
black sweater,2020-01-20,42.0
black sweater,2020-01-27,36.0
black sweater,2020-02-03,37.0
black sweater,2020-02-10,34.0
black sweater,2020-02-17,33.0
black sweater,2020-02-24,29.0
black sweater,2020-03-02,26.0
black sweater,2020-03-09,21.0
black sweater,2020-03-16,15.0
black sweater,2020-03-23,14.0
black sweater,2020-03-30,15.0
black sweater,2020-04-06,15.0
black sweater,2020-04-13,17.0
black sweater,2020-04-20,16.0
black sweater,2020-04-27,17.0
black sweater,2020-05-04,17.0
black sweater,2020-05-11,17.0
black sweater,2020-05-18,16.0
black sweater,2020-05-25,16.0
black sweater,2020-06-01,15.0
black sweater,2020-06-08,16.0
black sweater,2020-06-15,16.0
black sweater,2020-06-22,15.0
