method,split,metric,n_origins,mean,ci_low,ci_high,diff_vs_lightgbm_mean,diff_vs_lightgbm_ci_low,diff_vs_lightgbm_ci_high
ensemble_rank_avg,pooled,precision_at_3,12,0.1111111111111111,0.0,0.27777777777777773,0.05555555555555555,0.0,0.16666666666666666
ensemble_rank_avg,pooled,precision_at_10,12,0.2333333333333333,0.225,0.3083333333333334,-0.024999999999999998,-0.05000000000000001,-0.008333333333333331
ensemble_rank_avg,pooled,ndcg_at_10,12,0.8989943522088731,0.8800934644545734,0.9283654628794157,-0.0010671674182069029,-0.008784681214771476,0.00257683623573718
ensemble_rank_avg,pooled,spearman_rho,12,0.7328930350661342,0.7055814611666215,0.7652670790272452,-0.0703324986536837,-0.08468919280216651,-0.06328595313417128
ensemble_rank_avg,pooled,wmape,12,498.8337648208508,447.81350004100045,546.0758764893104,498.6949478853218,447.68864424036974,545.9217178796052
ensemble_rank_avg,covid,hit_at_3_in_top20,7,0.8095238095238094,0.8095238095238094,0.9523809523809523,0.04761904761904762,0.0,0.09523809523809525
ensemble_rank_avg,covid,hit_at_3_in_top10,7,0.6666666666666666,0.619047619047619,0.9523809523809523,0.14285714285714285,0.14285714285714285,0.23809523809523814
ensemble_rank_avg,covid,precision_at_3,7,0.19047619047619047,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.047619047619047616,0.19047619047619047
ensemble_rank_avg,covid,precision_at_10,7,0.21428571428571427,0.19999999999999998,0.31428571428571433,-0.028571428571428574,-0.05714285714285715,-0.014285714285714282
ensemble_rank_avg,covid,ndcg_at_10,7,0.9156336643635578,0.9062251902400466,0.9408608575096844,-0.007009637635275797,-0.010461664933981167,-0.006520528071131967
ensemble_rank_avg,covid,spearman_rho,7,0.7593467867882546,0.7295958543820804,0.7784469577600578,-0.060041258280383425,-0.07376293310739765,-0.060041258280383425
ensemble_rank_avg,covid,wmape,7,462.11283081153636,419.88372166456065,515.2876893934856,461.98458220926415,419.7642684926592,515.1463314133191
ensemble_rank_avg,non_covid,hit_at_3_in_top20,5,0.5333333333333333,0.3333333333333333,0.5333333333333333,-0.13333333333333333,-0.26666666666666666,-0.13333333333333333
ensemble_rank_avg,non_covid,hit_at_3_in_top10,5,0.4666666666666666,0.26666666666666666,0.4666666666666666,0.0,-0.2,0.0
ensemble_rank_avg,non_covid,precision_at_3,5,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_rank_avg,non_covid,precision_at_10,5,0.26,0.16,0.3,-0.019999999999999997,-0.019999999999999997,-0.019999999999999997
ensemble_rank_avg,non_covid,ndcg_at_10,5,0.8756993151923143,0.828343447850384,0.9095797239469103,0.007252290885689549,-0.005591253533769813,0.014223729490344849
ensemble_rank_avg,non_covid,spearman_rho,5,0.6958577826551658,0.6739054747929629,0.6981013984294056,-0.0847402351763041,-0.09600918485007212,-0.08010820574260094
ensemble_rank_avg,non_covid,wmape,5,550.2430724338908,550.2430724338908,563.3513354216902,550.0894598318027,550.0894598318026,563.1855499884746
