method_a,method_b,split,metric,n_origins,directional_only,mean_diff,diff_ci_low,diff_ci_high
lightgbm,global_mean,covid,precision_at_10,7,true,0.22857142857142862,0.17142857142857143,0.34285714285714286
lightgbm,global_mean,covid,ndcg_at_10,7,true,0.7174836853560331,0.7122110594688855,0.7481692311755379
lightgbm,global_mean,covid,spearman_rho,7,true,NaN,NaN,NaN
lightgbm,global_mean,covid,wmape,7,true,-0.15979808237712997,-0.167903048152158,-0.15809709958200466
lightgbm,global_mean,non_covid,hit_at_3_in_top20,5,true,0.4666666666666666,0.26666666666666666,0.4666666666666666
lightgbm,global_mean,non_covid,hit_at_3_in_top10,5,true,0.13333333333333333,0.13333333333333333,0.13333333333333333
lightgbm,global_mean,non_covid,precision_at_3,5,true,0.0,0.0,0.0
lightgbm,global_mean,non_covid,precision_at_10,5,true,0.13999999999999999,0.1,0.13999999999999999
lightgbm,global_mean,non_covid,ndcg_at_10,5,true,0.6020470059612746,0.5713088661247194,0.6022384992941359
lightgbm,global_mean,non_covid,spearman_rho,5,true,NaN,NaN,NaN
lightgbm,global_mean,non_covid,wmape,5,true,-0.10983838320791457,-0.11690852957429732,-0.08332992719577477
lightgbm,parent_category_mean,pooled,hit_at_3_in_top20,12,false,0.5,0.4444444444444445,0.6944444444444445
lightgbm,parent_category_mean,pooled,hit_at_3_in_top10,12,false,0.3055555555555555,0.16666666666666666,0.5833333333333334
lightgbm,parent_category_mean,pooled,precision_at_3,12,false,0.05555555555555555,0.0,0.1111111111111111
lightgbm,parent_category_mean,pooled,precision_at_10,12,false,0.18333333333333332,0.13333333333333333,0.2916666666666667
lightgbm,parent_category_mean,pooled,ndcg_at_10,12,false,0.6130618387637851,0.5115643199630345,0.7142608379697194
lightgbm,parent_category_mean,pooled,spearman_rho,12,false,0.46618626978325345,0.4114535989763055,0.5217519137126828
lightgbm,parent_category_mean,pooled,wmape,12,false,-0.07740632116458371,-0.10133586354149758,-0.05849326003154756
lightgbm,parent_category_mean,covid,hit_at_3_in_top20,7,true,0.5238095238095238,0.5238095238095237,0.7142857142857143
lightgbm,parent_category_mean,covid,hit_at_3_in_top10,7,true,0.42857142857142855,0.4285714285714285,0.6666666666666666
lightgbm,parent_category_mean,covid,precision_at_3,7,true,0.09523809523809523,0.09523809523809523,0.14285714285714285
lightgbm,parent_category_mean,covid,precision_at_10,7,true,0.21428571428571433,0.14285714285714285,0.34285714285714286
lightgbm,parent_category_mean,covid,ndcg_at_10,7,true,0.6086732824893398,0.47556680441504,0.7577508671630847
lightgbm,parent_category_mean,covid,spearman_rho,7,true,0.5123358071946427,0.4818351116471785,0.537443742603476
lightgbm,parent_category_mean,covid,wmape,7,true,-0.09674245076445298,-0.10367137986362458,-0.09402938275790922
lightgbm,parent_category_mean,non_covid,hit_at_3_in_top20,5,true,0.4666666666666666,0.26666666666666666,0.4666666666666666
lightgbm,parent_category_mean,non_covid,hit_at_3_in_top10,5,true,0.13333333333333333,0.13333333333333333,0.13333333333333333
lightgbm,parent_category_mean,non_covid,precision_at_3,5,true,0.0,0.0,0.0
lightgbm,parent_category_mean,non_covid,precision_at_10,5,true,0.13999999999999999,0.1,0.13999999999999999
lightgbm,parent_category_mean,non_covid,ndcg_at_10,5,true,0.6192058175480082,0.5851070338848634,0.6319987401132786
lightgbm,parent_category_mean,non_covid,spearman_rho,5,true,0.40157691740730855,0.3494110103641925,0.40157691740730844
lightgbm,parent_category_mean,non_covid,wmape,5,true,-0.05033573972476676,-0.05766445459461709,-0.025037737116332854
