comparator,metric,n_paired,mean_diff,ci_lo,ci_hi,ci_half_width,se_block,ess_ac,ess_boot,mde_80,excludes_zero
parent_category_mean,demand_capture_at_10,48,0.5093313728575283,0.43662808190526703,0.6344002030246981,0.09888606055971555,0.05083730122973247,9.028946246154707,12.36663063899181,0.14242503165397472,true
parent_category_mean,demand_capture_at_20,48,0.5229102702363824,0.4585842126454967,0.6361328906536577,0.08877433900408052,0.04479095870528876,8.117864515884376,15.445902627653089,0.12548568781384536,true
parent_category_mean,tolerance_hit_at_3,48,0.13194444444444442,0.020833333333333332,0.2986111111111111,0.1388888888888889,0.07134147757861248,12.739193456396842,11.834792625780262,0.19986922902257848,true
global_mean,hit_at_3_in_top20,48,0.4305555555555555,0.40972222222222215,0.6180555555555555,0.10416666666666666,0.05070891118238194,18.332387826669827,45.89196333556718,0.14206533599516463,true
global_mean,hit_at_3_in_top10,48,0.27777777777777773,0.20833333333333334,0.4930555555555555,0.1423611111111111,0.07285219622218225,13.106772586508683,15.441390991385367,0.20410163604313122,true
global_mean,precision_at_3,48,0.048611111111111105,0.013888888888888888,0.10416666666666667,0.045138888888888895,0.025104288579275,31.306944959937134,29.93100724454126,0.07033180379493904,true
global_mean,precision_at_10,48,0.16874999999999998,0.1395833333333333,0.2604166666666667,0.06041666666666669,0.031002234683790226,14.180403536613014,17.335933460512237,0.08685540241857587,true
global_mean,ndcg_at_10,48,0.6656974401797616,0.6412680177218918,0.7155667204906508,0.037149351384379525,0.018980562333657004,7.535654786024618,13.1195737142059,0.05317566286544525,true
global_mean,spearman_rho,0,,,,,,,,,
global_mean,wmape,48,-0.14010913122130778,-0.1640273404172356,-0.1290314573403968,0.017497941538419395,0.009123616766472479,8.112582870651615,16.95289528708022,0.025560589868676934,true
global_mean,demand_capture_at_3,48,0.5581558862829588,0.5032537098103493,0.6739072259519927,0.08532675807082168,0.04324232185079979,10.450053347734574,17.101404365567547,0.12114704969408412,true
global_mean,demand_capture_at_10,48,0.5788795274442827,0.5417204198264693,0.666624598675804,0.062452089424667345,0.03107921128831136,9.818004922080526,20.80811669097323,0.0870710589359428,true
global_mean,demand_capture_at_20,48,0.5942981212407686,0.5441589200261396,0.68050330414415,0.06817219205900515,0.033640077151937196,8.843903034967413,18.69102131335407,0.09424554288504705,true
