construction,method,metric,n_origins,mean,ci_lo,ci_hi
ratio,lightgbm,spearman_rho,10,0.6113007948021958,0.5074122483707824,0.736712511427131
ratio,lightgbm,wmape,10,0.3285582828048519,0.3001250948201042,0.3683110943414698
ratio,parent_category_mean,hit_at_3_in_top10,10,0.6,0.5,0.8
ratio,parent_category_mean,hit_at_3_in_top20,10,0.7666666666666667,0.7,0.9333333333333332
ratio,parent_category_mean,ndcg_at_10,10,0.7144274814549221,0.6750280869600137,0.7951962165388592
ratio,parent_category_mean,precision_at_10,10,0.37,0.33999999999999997,0.4699999999999999
ratio,parent_category_mean,precision_at_3,10,0.33333333333333337,0.19999999999999998,0.5333333333333334
ratio,parent_category_mean,spearman_rho,10,0.4067922999563415,0.2949659505793376,0.5321791737698375
ratio,parent_category_mean,wmape,10,0.4495173617817,0.4273459480604095,0.46744221615555875
ratio,seasonal_naive,hit_at_3_in_top10,10,0.6,0.4666666666666666,0.7
ratio,seasonal_naive,hit_at_3_in_top20,10,0.8,0.7333333333333333,0.9
ratio,seasonal_naive,ndcg_at_10,10,0.785626937711541,0.7431027186632783,0.8020546512905834
ratio,seasonal_naive,precision_at_10,10,0.4600000000000001,0.42000000000000004,0.51
ratio,seasonal_naive,precision_at_3,10,0.39999999999999997,0.19999999999999998,0.4999999999999999
ratio,seasonal_naive,spearman_rho,10,0.6363381251817016,0.6055115634469167,0.713171517323002
ratio,seasonal_naive,wmape,10,0.4161714676866346,0.37156764200725745,0.4706656923216572
residual,ewma_persistence,hit_at_3_in_top10,10,0.5333333333333332,0.4333333333333333,0.7333333333333334
residual,ewma_persistence,hit_at_3_in_top20,10,0.6666666666666666,0.4999999999999999,1.0
residual,ewma_persistence,ndcg_at_10,10,0.6653756646950846,0.5933055138344835,0.8031972914682667
residual,ewma_persistence,precision_at_10,10,0.35,0.27999999999999997,0.51
residual,ewma_persistence,precision_at_3,10,0.26666666666666666,0.19999999999999998,0.4
residual,ewma_persistence,spearman_rho,10,0.19289115144412566,0.10442117611427384,0.3915653154501776
residual,ewma_persistence,wmape,10,1.0089062033598555,1.0024975151661175,1.0187493026331325
residual,global_mean,hit_at_3_in_top10,10,0.4666666666666666,0.4333333333333333,0.6666666666666667
residual,global_mean,hit_at_3_in_top20,10,0.5333333333333332,0.4666666666666666,0.7333333333333334
residual,global_mean,ndcg_at_10,10,0.6107433902859846,0.588767890599794,0.6832884715847949
residual,global_mean,precision_at_10,10,0.31,0.27999999999999997,0.38
residual,global_mean,precision_at_3,10,0.3,0.26666666666666666,0.4333333333333333
residual,global_mean,spearman_rho,10,0.20877538700370768,0.14629400342516868,0.2635667637342888
residual,global_mean,wmape,10,1.0043774272295527,1.0027596080090273,1.0083887251656425
residual,lightgbm,hit_at_3_in_top10,10,0.5,0.36666666666666664,0.5999999999999999
residual,lightgbm,hit_at_3_in_top20,10,0.7,0.5666666666666667,0.8333333333333333
residual,lightgbm,ndcg_at_10,10,0.734186643719585,0.6983674850655641,0.764775854146713
residual,lightgbm,precision_at_10,10,0.42000000000000004,0.36,0.5
residual,lightgbm,precision_at_3,10,0.26666666666666666,0.13333333333333333,0.4
residual,lightgbm,spearman_rho,10,0.4504140929926613,0.38355815702268387,0.5168746087128981
residual,lightgbm,wmape,10,1.0038289290425169,1.0020468486198886,1.007828439436288
residual,parent_category_mean,hit_at_3_in_top10,10,0.4666666666666666,0.36583333333333334,0.7
residual,parent_category_mean,hit_at_3_in_top20,10,0.5666666666666667,0.4666666666666666,0.8
residual,parent_category_mean,ndcg_at_10,10,0.6103979975728461,0.5794554914098533,0.6837318225491383
residual,parent_category_mean,precision_at_10,10,0.29,0.26,0.33999999999999997
residual,parent_category_mean,precision_at_3,10,0.3,0.19999999999999998,0.4333333333333333
residual,parent_category_mean,spearman_rho,10,0.22448935008037832,0.1643096268900952,0.28000125937058074
residual,parent_category_mean,wmape,10,1.0064731259095971,1.0041578795505521,1.0116386071372572
residual,seasonal_naive,hit_at_3_in_top10,10,0.5666666666666667,0.4666666666666666,0.6333333333333333
residual,seasonal_naive,hit_at_3_in_top20,10,0.7666666666666667,0.6666666666666666,0.9
residual,seasonal_naive,ndcg_at_10,10,0.7631480585664325,0.7073940330337892,0.7854380201760174
residual,seasonal_naive,precision_at_10,10,0.43,0.38,0.45999999999999996
residual,seasonal_naive,precision_at_3,10,0.39999999999999997,0.19999999999999998,0.4999999999999999
residual,seasonal_naive,spearman_rho,10,0.42927321335464297,0.3733589266984235,0.4844500197825887
residual,seasonal_naive,wmape,10,1.1125173199441336,1.0733305864516938,1.1765617330960598
