origin_week,construction,method,n_styles,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-10-21,residual,ewma_persistence,140,140,0.0,0.0,0.0,0.1,0.3842310972285718,-0.16122105355229496,1.0146964819617614
2019-10-21,residual,parent_category_mean,140,140,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.5474905318078801,0.0261310708272288,1.0072210742345862
2019-10-21,residual,global_mean,140,140,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.5412823818604091,0.02734687629835342,1.004329070701519
2019-11-18,ratio,lightgbm,137,137,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.6618560020916091,0.5574980865084846,0.2760284161443798
2019-11-18,ratio,seasonal_naive,137,137,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.688923135865826,0.5605970093527731,0.337110316406562
2019-11-18,ratio,ewma_persistence,137,137,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.5760323019542771,0.4889204174211734,0.3548996060112759
2019-11-18,ratio,parent_category_mean,137,137,1.0,0.6666666666666666,0.3333333333333333,0.3,0.6924256905567623,0.3935351989097765,0.3951576397843201
2019-11-18,ratio,global_mean,137,137,1.0,0.6666666666666666,0.3333333333333333,0.3,0.6916534440306279,0.4252804898538279,0.44138361052168057
2019-11-18,excess,lightgbm,137,137,0.0,0.0,0.0,0.1,0.3333864532033279,-0.053148393600537636,1.1472080539918788
2019-11-18,excess,ewma_persistence,137,137,0.0,0.0,0.0,0.0,0.31814635428622234,-0.2469850841002856,0.976483283699119
2019-11-18,excess,parent_category_mean,137,137,0.0,0.0,0.0,0.1,0.362289489660056,-0.02435267982153191,1.404057224305253
2019-11-18,excess,global_mean,137,137,0.0,0.0,0.0,0.1,0.3598634805635235,0.009628129258685383,1.609722527966662
2019-11-18,residual,lightgbm,137,137,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.657618776652021,0.41003322941363146,0.9999999999999998
2019-11-18,residual,seasonal_naive,137,137,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.6471981136524115,0.3751236768906229,1.049742583788497
2019-11-18,residual,ewma_persistence,137,137,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.575312702763887,0.18817555584594992,1.0416850963126636
2019-11-18,residual,parent_category_mean,137,137,1.0,0.6666666666666666,0.3333333333333333,0.2,0.6439636125681029,0.2021440439076297,1.001214598748088
2019-11-18,residual,global_mean,137,137,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.6320369711159906,0.2177413332835514,0.9999999999999998
