challenger,metric,n_paired,mean_diff,ci_lo,ci_hi,se,p_two_sided,identical
b1_random,tolerance_hit_at_3,48,-0.020833333333333332,-0.0625,0.020833333333333332,0.02222396754677952,0.4567716141929036,false
b2,hit_at_3_in_top20,48,0.041666666666666664,0.006944444444444437,0.06961805555555463,0.01718435112898383,0.029985007496251874,false
b2,hit_at_3_in_top10,48,0.03472222222222222,-0.013888888888888895,0.09027777777777778,0.02762442012043428,0.25087456271864067,false
b2,precision_at_3,48,-0.013888888888888888,-0.05555555555555555,0.020833333333333332,0.02024030791724181,0.6736631684157921,false
b2,precision_at_10,48,-0.016666666666666666,-0.03958333333333334,0.008385416666666385,0.01291405017419037,0.21889055472263869,false
b2,ndcg_at_10,48,-0.002483986387293772,-0.010525987331573384,0.0045497698606045914,0.003981354599955679,0.5527236381809095,false
b2,spearman_rho,48,-0.1097768756122172,-0.1365837677251305,-0.07409981099275643,0.016438001860047183,0.0009995002498750624,false
b2,wmape,48,0.014138103340674562,0.0053449354715401284,0.022573713598394746,0.004492352726011528,0.0009995002498750624,false
b2,demand_capture_at_3,48,0.015668011613318125,-0.010629002902042379,0.04215122343531547,0.013872188536822884,0.26186906546726635,false
b2,demand_capture_at_10,48,-0.025375170875103364,-0.051572598631679026,-0.005769438617158254,0.012059998882050879,0.00399800099950025,false
b2,demand_capture_at_20,48,-0.012764619147329842,-0.038700116538186266,0.012777241211851144,0.013443916535849972,0.351824087956022,false
b2,tolerance_hit_at_3,48,-0.006944444444444445,-0.05555555555555556,0.041666666666666664,0.02548084231209934,0.8535732133933034,false
b3,hit_at_3_in_top20,48,0.006944444444444444,0.0,0.020833333333333332,0.005957373997984233,0.6046976511744128,false
b3,hit_at_3_in_top10,48,0.006944444444444444,0.0,0.020833333333333332,0.006068449427327763,0.6046976511744128,false
b3,precision_at_3,48,0.0,0.0,0.0,0.0,1.0,true
b3,precision_at_10,48,0.002083333333333333,-0.0041666666666666675,0.008333333333333333,0.003135593426769414,0.7646176911544228,false
b3,ndcg_at_10,48,2.2657134376459034e-6,-0.0008772358031422876,0.0007165470961877661,0.0004242429911943039,0.9825087456271864,false
b3,spearman_rho,48,0.0010665615525160984,0.0001111292586855975,0.002090707812761079,0.0005185978699511447,0.028985507246376812,false
b3,wmape,48,-0.0008975916322330827,-0.0013802291418987531,-0.000412475467787679,0.00025098839160389997,0.0009995002498750624,false
b3,demand_capture_at_3,48,0.004217496757660398,-2.3129646346357427e-18,0.009561856189220341,0.0025525483460436035,0.15892053973013492,false
b3,demand_capture_at_10,48,-0.0009038245925656607,-0.0034194965861886846,0.0013101583836682973,0.0012514616045974443,0.4927536231884058,false
b3,demand_capture_at_20,48,0.0006091645851384562,-0.001246224340033634,0.00274319698941449,0.0010703403414192589,0.624687656171914,false
b3,tolerance_hit_at_3,48,0.0,0.0,0.0,0.0,1.0,true
b4,hit_at_3_in_top20,48,0.0,0.0,0.0,0.0,1.0,true
b4,hit_at_3_in_top10,48,0.0,0.0,0.0,0.0,1.0,true
b4,precision_at_3,48,0.0,0.0,0.0,0.0,1.0,true
b4,precision_at_10,48,0.0,0.0,0.0,0.0,1.0,true
b4,ndcg_at_10,48,0.0,0.0,0.0,0.0,1.0,true
b4,spearman_rho,48,0.0,0.0,0.0,0.0,1.0,true
b4,wmape,48,0.0,0.0,0.0,0.0,1.0,true
b4,demand_capture_at_3,48,0.0,0.0,0.0,0.0,1.0,true
b4,demand_capture_at_10,48,0.0,0.0,0.0,0.0,1.0,true
b4,demand_capture_at_20,48,0.0,0.0,0.0,0.0,1.0,true
b4,tolerance_hit_at_3,48,0.0,0.0,0.0,0.0,1.0,true
b5_q50,hit_at_3_in_top20,48,0.04166666666666668,-0.0069444444444444475,0.09027777777777779,0.02594774881725016,0.11294352823588207,false
b5_q50,hit_at_3_in_top10,48,0.020833333333333332,-0.041666666666666664,0.1111111111111111,0.041003019366605414,0.6016991504247876,false
b5_q50,precision_at_3,48,0.0,0.0,0.0,0.0,1.0,true
b5_q50,precision_at_10,48,0.02083333333333333,-0.016666666666666666,0.0625,0.020489626738791584,0.3328335832083958,false
b5_q50,ndcg_at_10,48,-0.0042981860874752725,-0.023502993505424626,0.012935780781675258,0.009516201180157407,0.7126436781609196,false
b5_q50,spearman_rho,48,-0.0024715594392270175,-0.008375377815264989,0.003974028964932336,0.0032489702610383675,0.47276361819090457,false
b5_q50,wmape,48,-0.0037349998325142803,-0.005159590089176471,-0.0024105529009966517,0.0007159091209852968,0.0009995002498750624,false
b5_q50,demand_capture_at_3,48,0.003955812253146868,-0.032250164529426806,0.04051756989474416,0.018641774568036916,0.8295852073963018,false
b5_q50,demand_capture_at_10,48,-0.00012419657087642892,-0.03383523067836764,0.028619770939104058,0.016398641891765417,0.9545227386306847,false
b5_q50,demand_capture_at_20,48,-0.0002504819697981455,-0.01572043947432009,0.015381371518388486,0.007915145818488534,0.9675162418790605,false
b5_q50,tolerance_hit_at_3,48,-1.1564823173178713e-18,-0.041666666666666664,0.041666666666666664,0.022114589082492336,0.9735132433783108,false
