term,week_start,value
Beige,2019-12-09,2854
Beige,2019-12-16,2958
Beige,2019-12-23,2567
Beige,2019-12-30,2668
Beige,2020-01-06,3024
Beige,2020-01-13,3694
Beige,2020-01-20,3871
Beige,2020-01-27,3018
Beige,2020-02-03,2606
Beige,2020-02-10,9395
Beige,2020-02-17,2549
Beige,2020-02-24,2587
Beige,2020-03-02,2494
Beige,2020-03-09,2452
Beige,2020-03-16,2179
Beige,2020-03-23,2264
Beige,2020-03-30,2465
Beige,2020-04-06,2479
Beige,2020-04-13,2559
Beige,2020-04-20,2759
Beige,2020-04-27,2700
Beige,2020-05-04,2602
Beige,2020-05-11,2560
Beige,2020-05-18,2702
Beige,2020-05-25,2659
Beige,2020-06-01,2806
Beige,2020-06-08,2850
Beige,2020-06-15,2716
Beige,2020-06-22,2734
Beige,2020-06-29,2510
Beige,2020-07-06,2636
Beige,2020-07-13,2665
Beige,2020-07-20,2569
Beige,2020-07-27,2553
Beige,2020-08-03,2641
Beige,2020-08-10,2634
Beige,2020-08-17,2563
Beige,2020-08-24,2602
Beige,2020-08-31,2636
Beige,2020-09-07,2555
Beige,2020-09-14,2887
Beige,2020-09-21,2642
Belt (clothing),2018-09-03,1185
Belt (clothing),2018-09-10,1169
Belt (clothing),2018-09-17,1363
Belt (clothing),2018-09-24,1266
Belt (clothing),2018-10-01,1365
Belt (clothing),2018-10-08,1504
Belt (clothing),2018-10-15,1388
Belt (clothing),2018-10-22,1308
Belt (clothing),2018-10-29,1265
Belt (clothing),2018-11-05,1343
Belt (clothing),2018-11-12,1285
Belt (clothing),2018-11-19,1266
Belt (clothing),2018-11-26,1346
Belt (clothing),2018-12-03,1874
Belt (clothing),2018-12-10,2237
Belt (clothing),2018-12-17,1442
Belt (clothing),2018-12-24,1195
Belt (clothing),2018-12-31,1219
Belt (clothing),2019-01-07,1365
Belt (clothing),2019-01-14,1256
Belt (clothing),2019-01-21,1189
Belt (clothing),2019-01-28,1182
Belt (clothing),2019-02-04,1171
Belt (clothing),2019-02-11,1166
Belt (clothing),2019-02-18,1252
Belt (clothing),2019-02-25,1271
Belt (clothing),2019-03-04,1318
Belt (clothing),2019-03-11,1377
Belt (clothing),2019-03-18,1284
Belt (clothing),2019-03-25,1200
Belt (clothing),2019-04-01,1115
Belt (clothing),2019-04-08,1225
Belt (clothing),2019-04-15,1490
Belt (clothing),2019-04-22,1325
Belt (clothing),2019-04-29,1222
Belt (clothing),2019-05-06,1168
Belt (clothing),2019-05-13,1164
Belt (clothing),2019-05-20,1131
Belt (clothing),2019-05-27,1128
Belt (clothing),2019-06-03,1152
Belt (clothing),2019-06-10,1309
Belt (clothing),2019-06-17,1262
Belt (clothing),2019-06-24,1207
Belt (clothing),2019-07-01,1144
Belt (clothing),2019-07-08,1210
Belt (clothing),2019-07-15,1140
Belt (clothing),2019-07-22,1034
Belt (clothing),2019-07-29,1106
Belt (clothing),2019-08-05,1114
Belt (clothing),2019-08-12,1097
Belt (clothing),2019-08-19,1158
Belt (clothing),2019-08-26,1124
Belt (clothing),2019-09-02,1091
Belt (clothing),2019-09-09,1103
Belt (clothing),2019-09-16,1194
Belt (clothing),2019-09-23,1201
Belt (clothing),2019-09-30,1222
Belt (clothing),2019-10-07,1248
Belt (clothing),2019-10-14,1149
Belt (clothing),2019-10-21,1307
Belt (clothing),2019-10-28,1198
Belt (clothing),2019-11-04,1314
Belt (clothing),2019-11-11,1399
Belt (clothing),2019-11-18,1578
Belt (clothing),2019-11-25,1197
Belt (clothing),2019-12-02,1285
Belt (clothing),2019-12-09,1337
Belt (clothing),2019-12-16,1433
Belt (clothing),2019-12-23,1128
Belt (clothing),2019-12-30,1263
Belt (clothing),2020-01-06,1362
Belt (clothing),2020-01-13,1522
Belt (clothing),2020-01-20,1454
Belt (clothing),2020-01-27,1374
Belt (clothing),2020-02-03,1394
Belt (clothing),2020-02-10,1376
Belt (clothing),2020-02-17,1415
Belt (clothing),2020-02-24,1473
Belt (clothing),2020-03-02,1226
Belt (clothing),2020-03-09,1193
Belt (clothing),2020-03-16,1127
Belt (clothing),2020-03-23,1168
Belt (clothing),2020-03-30,1322
Belt (clothing),2020-04-06,1248
Belt (clothing),2020-04-13,1297
