origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3
2020-06-08,lightgbm,true,true,2690,2690,0.0,0.0,0.0,0.1,0.8781447286761365,0.809523907883246,0.10413053705235645,0.4571184768982229,0.6181911667264852,0.6387713079532477,0.0
2020-06-15,lightgbm,true,true,2547,2547,0.0,0.0,0.0,0.1,0.8472566876520685,0.7989215571930902,0.12546113301615175,0.406363385798656,0.5347435454960914,0.5773190981844505,0.0
2020-06-22,lightgbm,true,true,1978,1978,0.0,0.0,0.0,0.0,0.8023587625931585,0.7422134078608592,0.1641678840195351,0.3306859561561811,0.45550580793074025,0.4868611048823226,0.0
2019-07-29,parent_category_mean,false,false,3037,3037,0.0,0.0,0.0,0.0,0.2370645844404721,0.23072703957289786,0.25970421360469387,0.03167801668069478,0.09422828723428027,0.17588929657318042,0.0
2019-08-05,parent_category_mean,false,false,3039,3039,0.0,0.0,0.0,0.0,0.23195591572294472,0.22169750183273393,0.2736412394285952,0.0009354536950420953,0.09646174830207638,0.1283271470411369,0.0
2019-08-12,parent_category_mean,false,false,3041,3041,0.0,0.0,0.0,0.0,0.1814599869261526,0.21283536210789902,0.2922733614516985,0.0009880772017653646,0.09128815306507852,0.15099837759019355,0.0
2019-08-19,parent_category_mean,false,false,3042,3042,0.0,0.0,0.0,0.0,0.17859819982676442,0.20127891363385575,0.30472758024857094,0.0009962143853357245,0.11446461060385335,0.15181771480434483,0.0
2019-08-26,parent_category_mean,false,false,3043,3043,0.0,0.0,0.0,0.0,0.18244513342178925,0.19700750773832132,0.3034980295540387,0.0012391573729863688,0.09995350013588643,0.1562831324198187,0.0
2019-09-02,parent_category_mean,false,false,3043,3043,0.0,0.0,0.0,0.0,0.20181853215348344,0.19567199896514578,0.2925544697003864,0.0012948575656677762,0.10845294449883303,0.13296350760220746,0.0
2019-09-09,parent_category_mean,false,false,3043,3043,0.0,0.0,0.0,0.0,0.2172323861595204,0.19666078774314188,0.28802904303566196,0.001358431981370075,0.11514707259153532,0.11571018134800566,0.0
2019-09-16,parent_category_mean,true,false,3044,3044,0.0,0.0,0.0,0.0,0.2354826394340583,0.1940275272022248,0.27734746687133377,0.0014134275618374551,0.12800204807845916,0.11959154036624889,0.0
2019-09-23,parent_category_mean,true,false,3042,3042,0.0,0.0,0.0,0.0,0.20075065804775752,0.18962946897366206,0.278590124302397,0.0006219278942064454,0.0877246242758067,0.13091962208844646,0.0
2019-09-30,parent_category_mean,true,false,3044,3044,0.0,0.0,0.0,0.0,0.2185949217125193,0.18648860710920898,0.2814060390361457,0.029458786183414368,0.1095719552542079,0.08536851462944303,0.0
2019-10-07,parent_category_mean,true,false,3044,3044,0.0,0.0,0.0,0.0,0.22359072815011055,0.18858170572043007,0.2703647329611648,0.034828171859543705,0.1078546680121384,0.08051624047107375,0.0
2019-10-14,parent_category_mean,true,false,3042,3042,0.0,0.0,0.0,0.0,0.1655223338138691,0.19464401371489498,0.26202842653306657,0.03554303542587293,0.05224412632947593,0.08793454328747553,0.0
2019-10-21,parent_category_mean,true,false,3042,3042,0.0,0.0,0.0,0.0,0.13490278600694766,0.20069579209070387,0.2526975542045285,0.037376771039709114,0.02185988369991118,0.05349652576882147,0.0
2019-10-28,parent_category_mean,true,false,3039,3039,0.0,0.0,0.0,0.0,0.14685019497829963,0.20133856193342958,0.2501697712400218,0.03885511974319249,0.02624260628686826,0.05098951704666793,0.0
2019-11-04,parent_category_mean,true,false,3038,3038,0.0,0.0,0.0,0.0,0.18974688640470708,0.209349572759123,0.24393314746966827,0.041789787177864336,0.03604020100332013,0.05858671706257298,0.0
2019-11-11,parent_category_mean,true,false,3034,3034,0.0,0.0,0.0,0.0,0.2274934591698765,0.21490257879095848,0.23777228275460455,0.04547933948697604,0.049243799305228896,0.06495304390073323,0.0
2019-11-18,parent_category_mean,true,false,3028,3028,0.0,0.0,0.0,0.0,0.24738698465379794,0.2215127750045369,0.23185886271584313,0.049570040512640315,0.06253040370504696,0.07506608329866055,0.0
2019-11-25,parent_category_mean,true,false,3023,3023,0.0,0.0,0.0,0.0,0.2843044882339388,0.23237945707352473,0.25077603195865494,0.0647057511382023,0.08777055020354692,0.08762672761898312,0.0
2019-12-02,parent_category_mean,true,true,3020,3020,0.0,0.0,0.0,0.0,0.34273625492267357,0.24154346025480747,0.22847669419865646,0.07778750959401379,0.09781223205520279,0.07033653542195088,0.0
2019-12-09,parent_category_mean,true,true,3016,3016,0.0,0.0,0.0,0.0,0.44276690454643847,0.2507801129433323,0.22842029512408116,0.1007479591800897,0.12455065802206182,0.0857103093036364,0.0
2019-12-16,parent_category_mean,true,true,3014,3014,0.0,0.0,0.0,0.0,0.5150981926724854,0.2640030115433522,0.24374663469006239,0.18919698207506366,0.16620688715665638,0.11117288322366477,0.0
2019-12-23,parent_category_mean,true,true,3013,3013,0.0,0.0,0.0,0.0,0.49867264733003624,0.2711213644304361,0.2494464823891909,0.200349858567813,0.171545911226198,0.12329945043813063,0.0
2019-12-30,parent_category_mean,true,true,3012,3012,0.0,0.0,0.0,0.0,0.5711493170489473,0.2785361909932424,0.2454606565600466,0.23513866749520443,0.21466589062600186,0.14548219986558053,0.0
2020-01-06,parent_category_mean,true,true,3010,3010,0.3333333333333333,0.0,0.0,0.1,0.6214095466190502,0.28412801215080175,0.23843803142611641,0.2913599051194181,0.27424260187985644,0.17922389936782032,0.0
2020-01-13,parent_category_mean,true,true,3009,3009,0.3333333333333333,0.0,0.0,0.1,0.6327347837074252,0.28562141662535884,0.24019556935920952,0.315957988337582,0.28951203160776146,0.19069669459461958,0.0
2020-01-20,parent_category_mean,true,true,3007,3007,0.3333333333333333,0.3333333333333333,0.0,0.2,0.6414810063173894,0.2893985544104125,0.24596372129182387,0.33968161454995066,0.3011497324627406,0.20385253031285042,0.0
2020-01-27,parent_category_mean,true,true,3008,3008,0.3333333333333333,0.3333333333333333,0.0,0.2,0.6252867395404417,0.291042599489461,0.2487182009480391,0.34087969472705126,0.28446433933660953,0.20675459936249452,0.0
2020-02-03,parent_category_mean,true,true,3007,3007,0.3333333333333333,0.3333333333333333,0.0,0.2,0.6269803760157266,0.2887134344010296,0.2538579461377015,0.3438514917346421,0.2910344330520802,0.19930206088591063,0.0
2020-02-10,parent_category_mean,true,true,3007,3007,0.0,0.0,0.0,0.0,0.24167171923708752,0.27112018073550576,0.2534702747572134,0.005861828517895543,0.05901068534733215,0.05824371210348915,0.0
2020-02-17,parent_category_mean,true,true,3005,3005,0.0,0.0,0.0,0.0,0.20473777407579122,0.2675877615955097,0.25825868378173616,0.004421177337245281,0.03382225385986821,0.05802801973902487,0.0
2020-02-24,parent_category_mean,true,true,3001,3001,0.0,0.0,0.0,0.0,0.1989661667433,0.27024082695245627,0.2586836063383746,0.003929902361132615,0.030816517727454057,0.05599700621287215,0.0
2020-03-02,parent_category_mean,true,true,2999,2999,0.0,0.0,0.0,0.0,0.16529750658760248,0.2660992061131491,0.2621718659668514,0.001444895581448153,0.022299061116683432,0.04993737549898709,0.0
2020-03-09,parent_category_mean,true,true,2991,2991,0.0,0.0,0.0,0.0,0.15863662273979712,0.2647639484749746,0.25867187072223924,0.001435996714682649,0.020169470108974054,0.048446694020398404,0.0
2020-03-16,parent_category_mean,true,true,2984,2984,0.0,0.0,0.0,0.0,0.15903551286539194,0.2703700191988349,0.24381331165975378,0.0012409892087493432,0.017415107418255908,0.044794858870374946,0.0
2020-03-23,parent_category_mean,true,true,2969,2969,0.0,0.0,0.0,0.0,0.15297411017864587,0.27734545831755025,0.24192838091722874,0.0013550842276261878,0.017358302288626105,0.0405515730408266,0.0
2020-03-30,parent_category_mean,true,true,2962,2962,0.0,0.0,0.0,0.0,0.15580616634775582,0.2788185924949991,0.24083699925154434,0.001898641970987628,0.017884206997653473,0.03583372768037253,0.0
2020-04-06,parent_category_mean,true,true,2956,2956,0.0,0.0,0.0,0.0,0.16560811160085187,0.2757598617124712,0.22950910638528862,0.003972238466715952,0.019474877887712887,0.03999795397420541,0.0
2020-04-13,parent_category_mean,true,true,2941,2941,0.0,0.0,0.0,0.0,0.17242537365784258,0.27514879153747096,0.22104218026732342,0.005200152487563283,0.020012089937244106,0.041878105548194926,0.0
2020-04-20,parent_category_mean,true,true,2934,2934,0.0,0.0,0.0,0.0,0.17152218766688543,0.2710604760726618,0.21910541879355808,0.005430430479668348,0.020735413344345453,0.03501171856292252,0.0
2020-04-27,parent_category_mean,true,true,2917,2917,0.0,0.0,0.0,0.0,0.16766846504840557,0.27003116914219316,0.21649169601855806,0.005743034033277693,0.020101232964051988,0.0378363209656308,0.0
2020-05-04,parent_category_mean,true,true,2906,2906,0.0,0.0,0.0,0.0,0.17263257623071612,0.2726476693576131,0.21121775580108243,0.005781401697921763,0.020844744196705605,0.04110018609601705,0.0
2020-05-11,parent_category_mean,true,true,2879,2879,0.0,0.0,0.0,0.0,0.19060418454195663,0.27854548235964083,0.2144147283457604,0.007748109930759314,0.02453627177601673,0.04419423597370747,0.0
2020-05-18,parent_category_mean,true,true,2855,2855,0.0,0.0,0.0,0.0,0.2035210648402167,0.27782539040642734,0.21051870772128092,0.009245887781339158,0.027686354347270174,0.048752008285398586,0.0
2020-05-25,parent_category_mean,true,true,2808,2808,0.0,0.0,0.0,0.0,0.22227495209013579,0.2723622498862165,0.2033026939319838,0.010267127021624566,0.031752289542852453,0.05181455272757571,0.0
