origin_week,is_covid,cal_first,cal_last,Q_sym,Q_lo,Q_hi,n,cov_uncalibrated,cov_cqr_symmetric,cov_cqr_asymmetric,wlog_uncalibrated,wlog_cqr_symmetric,wlog_cqr_asymmetric,wraw_uncalibrated,wraw_cqr_symmetric,wraw_cqr_asymmetric
2019-12-02,true,2019-08-12,2019-09-02,0.5594643800269146,0.6749278175284241,0.3981600230818312,3020,0.7844370860927152,0.9880794701986755,0.9821192052980132,1.5216597015107902,2.640588461564619,2.5947475421210453,13.551680038936711,28.59777684387656,24.268727258423972
2019-12-09,true,2019-08-19,2019-09-09,0.5339073572406128,0.6325194746498326,0.4009346306021231,3016,0.781498673740053,0.9854111405835544,0.9824270557029178,1.5046733014061207,2.572488015887346,2.5381274066580763,13.308019970862311,27.50899183543948,24.00223604662234
2019-12-16,true,2019-08-26,2019-09-16,0.5059750910257945,0.5818625589133568,0.4018681582235917,3014,0.7149966821499668,0.9684804246848042,0.9688122096881221,1.3821412749558182,2.394091457007407,2.365871992092767,13.536313814306439,27.24556963293483,24.49248610329043
2019-12-23,true,2019-09-02,2019-09-23,0.4488700408504389,0.5527658704101241,0.33394629579549306,3013,0.7178891470295387,0.9558579488881513,0.953866578161301,1.393406804776072,2.2911468864769495,2.280118970981689,12.516377668842505,23.57097135780285,20.996057441200755
2019-12-30,true,2019-09-09,2019-09-30,0.4252471633727257,0.5369944075123643,0.2872613618357658,3012,0.7151394422310757,0.9475431606905711,0.9422310756972112,1.4099644065543113,2.2604587332997625,2.2342201759024416,12.806920173434905,23.185299765707974,20.1292742890696
2020-01-06,true,2019-09-16,2019-10-07,0.3911890364553874,0.5019065899087168,0.23554422003014297,3010,0.6903654485049834,0.9245847176079734,0.9172757475083056,1.3880112046427098,2.1703892775534848,2.12546201458157,12.507141957707308,22.060177857171258,18.75983122233319
2020-01-13,true,2019-09-23,2019-10-14,0.3587776541095117,0.46807716873996286,0.1896610407468451,3009,0.6653373213692256,0.901296111665005,0.8856763044200732,1.2729922206494595,1.9905475288684829,1.9307304301362678,10.34245350101785,18.47195026709939,15.44096126068169
2020-01-20,true,2019-09-30,2019-10-21,0.3081032759871778,0.3948726025376046,0.18195567426480497,3007,0.6371799135350849,0.8689723977386099,0.8626538077818424,1.270200096651952,1.8864066486263076,1.8470283734543615,10.623815640680466,17.87464966897933,15.62136556245533
2020-01-27,true,2019-10-07,2019-10-28,0.25930090511977943,0.3224119706151627,0.16191770553439078,3008,0.6329787234042553,0.8397606382978723,0.8341090425531915,1.2865697612184153,1.8051715714579741,1.7708994373679687,10.722016073585593,16.54490910169285,14.836546745962291
2020-02-03,true,2019-10-14,2019-11-04,0.21047056561898536,0.2696116241300385,0.13935674586601898,3007,0.6009311606252078,0.777851679414699,0.78084469571001,1.235267837352382,1.6562089685903527,1.6442362073484393,10.319947006132207,15.137579992914384,14.055099812469297
2020-02-10,true,2019-10-21,2019-11-11,0.16283095515315416,0.21051744145386286,0.11319543943249588,3007,0.609577652144995,0.7648819421350183,0.7678749584303293,1.263403378420855,1.5890652887271635,1.587116259307214,10.411244709019101,13.730099249468667,13.062218207656676
2020-02-17,true,2019-10-28,2019-11-18,0.13466487862749832,0.17144439707211123,0.09337298367980207,3005,0.6046589018302828,0.7294509151414309,0.7344425956738768,1.2688558648328874,1.5381856220878838,1.5336732455848008,10.519938705387792,13.383875680440351,12.825338935743538
2020-02-24,true,2019-11-04,2019-11-25,0.11457116866073402,0.1600352890302507,0.04852659559725936,3001,0.6027990669776742,0.712762412529157,0.716427857380873,1.2782762437278392,1.5074185810493075,1.4868381283553496,10.65928171777275,13.000732227400732,12.086790473515332
2020-03-02,true,2019-11-11,2019-12-02,0.0767328760179975,0.1270130301333645,0.009169066256184522,2999,0.5741913971323774,0.6505501833944648,0.6542180726908969,1.2450213040940743,1.3984870561300693,1.3812034004836233,10.94018460516483,12.562461434236303,11.689325049181525
2020-03-09,true,2019-11-18,2019-12-09,0.04629528255129767,0.09249131536846966,-0.02700378256117464,2991,0.6004680708793045,0.6412571046472751,0.6349047141424273,1.290367729865441,1.3829582949680364,1.355855262672736,10.718126299735822,11.611277298163307,10.704115243890303
2020-03-16,true,2019-11-25,2019-12-16,0.05421664654261649,0.12747200230695738,-0.07255806402653597,2984,0.6306970509383378,0.67828418230563,0.6511394101876675,1.3315683519958437,1.4400016450810766,1.386482290276265,10.284426918271436,11.330252835209855,9.810382712811254
2020-03-23,true,2019-12-02,2019-12-23,0.05232160485317605,0.11350099067932273,-0.04232807842306774,2969,0.6379252273492758,0.6951835634893904,0.6695857190973392,1.3502385610513334,1.4548817707576858,1.4214114733075887,10.759355532970387,11.703934108352707,10.560922602005608
2020-03-30,true,2019-12-09,2019-12-30,0.07042389749348521,0.13631751643209022,-0.033065632672033995,2962,0.6553004726536125,0.7268737339635382,0.7218095881161377,1.308184922310319,1.4490327172972894,1.4114368060703752,11.05908298328327,12.46296061098051,11.049614906401112
2020-04-06,true,2019-12-16,2020-01-06,0.09949601025224286,0.1574456593885818,-0.0031539296880311873,2956,0.6982408660351827,0.8014208389715832,0.7966847090663058,1.2864652256799574,1.485457246184443,1.4407569553805082,11.35076631660079,13.344608477748187,11.900202535359016
