method,metric,n_origins,mean,ci_lo,ci_hi
parent_category_mean,ndcg_at_10,48,0.2724740107746522,0.19020041125556264,0.4101750831073812
parent_category_mean,spearman_rho,48,0.2468134629733416,0.21643343532295178,0.2750133001239352
parent_category_mean,wmape,48,0.24550962549358293,0.23219537061337506,0.2644083828927584
parent_category_mean,demand_capture_at_3,48,0.061880457249217445,0.014226554536553158,0.1530532973831496
parent_category_mean,demand_capture_at_10,48,0.08822409515846912,0.04421762577115722,0.1543507191828139
parent_category_mean,demand_capture_at_20,48,0.09082047063794078,0.058670914516873326,0.12095399129380284
parent_category_mean,tolerance_hit_at_3,48,0.0,0.0,0.0
random_floor,hit_at_3_in_top20,48,0.005555555555555557,0.0010416666666666667,0.009722222222222222
random_floor,hit_at_3_in_top10,48,0.004166666666666667,0.0010416666666666667,0.0076388888888888895
random_floor,precision_at_3,48,0.0024305555555555556,0.0010416666666666667,0.004861111111111111
random_floor,precision_at_10,48,0.003541666666666667,0.002916666666666667,0.004166666666666667
random_floor,ndcg_at_10,48,0.4029600748959122,0.3883833454876884,0.40995350781537193
random_floor,spearman_rho,48,0.0005298875286060815,-0.0005054248163565819,0.0017836186205344277
random_floor,wmape,48,0.48432352984093674,0.4786999902429235,0.5021124929007589
random_floor,demand_capture_at_3,48,0.08365205028970722,0.07728246059529165,0.09180479870061943
random_floor,demand_capture_at_10,48,0.09998781550676643,0.0926107039809799,0.10412414817892547
random_floor,demand_capture_at_20,48,0.11417286369511633,0.10615658464406662,0.11800717174028276
random_floor,tolerance_hit_at_3,48,0.0024305555555555556,0.0010416666666666667,0.004861111111111111
seasonal_naive,hit_at_3_in_top20,42,0.39682539682539675,0.23015873015873015,0.619047619047619
seasonal_naive,hit_at_3_in_top10,42,0.3174603174603175,0.18253968253968253,0.4920634920634921
seasonal_naive,precision_at_3,42,0.07936507936507937,0.0,0.20634920634920634
seasonal_naive,precision_at_10,42,0.18095238095238095,0.11428571428571428,0.2761904761904762
seasonal_naive,ndcg_at_10,42,0.7602332361928011,0.658746478938002,0.8295778279330696
seasonal_naive,spearman_rho,42,0.5396181217780386,0.4924945148261163,0.5791645623944528
seasonal_naive,wmape,42,0.1902657342685267,0.18212953586154998,0.20364615274328896
seasonal_naive,demand_capture_at_3,42,0.46120311507000755,0.29150178871474175,0.6517923965227073
seasonal_naive,demand_capture_at_10,42,0.4565826611192841,0.3583020315415864,0.5338043633503355
seasonal_naive,demand_capture_at_20,42,0.47313826252261637,0.4026552207664255,0.523155397987364
seasonal_naive,tolerance_hit_at_3,42,0.15873015873015872,0.0,0.39702380952380845
