source,analysis,window,x,lag_weeks,n_weeks,median_styles_per_week,mean_rho,ci_lo,ci_hi
wikipedia,forward,all,signal,4,20,2506.0,0.1104263627247752,0.06033507813363778,0.18196510962672416
wikipedia,forward,pre_test,sales_own,4,5,2879.0,0.13994112498317404,0.05423405764544857,0.1693054166352277
wikipedia,forward,all,sales_own,4,20,2984.0,0.1197295399322662,0.08169197733291758,0.19256261038629144
wikipedia,concurrent,pre_test,signal,8,33,2459.0,0.016003310055789276,-0.034318250098425755,0.07975653359271476
wikipedia,concurrent,all,signal,8,93,2509.0,-0.006347182877100217,-0.032654917967299454,0.02717740904192474
wikipedia,concurrent,pre_test,sales_own,8,30,2903.0,-0.04614754992210555,-0.0832168960031638,-0.0014421935520322325
wikipedia,concurrent,all,sales_own,8,90,2999.0,-0.09131763924123,-0.12780912863278196,-0.05999875236764793
wikipedia,forward,pre_test,signal,8,5,2423.0,0.0351232156767312,-0.04587728350768342,0.03512321567673119
wikipedia,forward,all,signal,8,20,2497.0,0.0652613666780691,-0.0003562416777171724,0.15086327001964733
wikipedia,forward,pre_test,sales_own,8,4,2863.0,0.07863479155510783,0.07863479155510783,0.07863479155510783
wikipedia,forward,all,sales_own,8,19,2975.0,0.08205010997752153,0.02901993731635938,0.1418530968549197
