origin_week,method,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3
2020-05-25,b1_shuffle,0.0,0.0,0.0,0.0,0.8802719204370493,0.8356582189465515,0.119730962977234,0.5098757169900182,0.6040621859420078,0.7534822639183547,0.0
2020-06-01,b1_shuffle,0.0,0.0,0.0,0.1,0.8657735108842669,0.8196693589664984,0.11353760017177762,0.42477595702993215,0.59075139612324,0.6337848046193404,0.0
2020-06-08,b1_shuffle,0.0,0.0,0.0,0.1,0.8678595927660773,0.8092423327478432,0.10433393753933752,0.4571184768982229,0.6063972681941759,0.6405787644575779,0.0
2020-06-15,b1_shuffle,0.0,0.0,0.0,0.1,0.85770566019024,0.799733922991585,0.1266368473234456,0.406363385798656,0.5686581044295022,0.6045902830811647,0.0
2020-06-22,b1_shuffle,0.0,0.0,0.0,0.0,0.7967143002394869,0.7428920276605562,0.16742977383819208,0.30058263491358256,0.45440217664818994,0.4965791934249458,0.0
2019-07-29,b1_random,0.0,0.0,0.0,0.0,0.6526916760894719,0.5199827652523807,0.2847465892041514,0.14454215537312945,0.21618220712304576,0.23775000247880695,0.0
2019-08-05,b1_random,0.0,0.0,0.0,0.0,0.6220303747708573,0.5216383726913146,0.28002280178411054,0.09183204151632589,0.20789721274963685,0.23546763928774578,0.0
2019-08-12,b1_random,0.0,0.0,0.0,0.0,0.6872136415973493,0.5172431490380698,0.2900461596222691,0.30518485383818983,0.26632467619448885,0.24383183828966995,0.0
2019-08-19,b1_random,0.0,0.0,0.0,0.0,0.7382624249174181,0.48901935026557825,0.2945482836772861,0.28327920225577485,0.29949944397115974,0.2901674197028774,0.0
2019-08-26,b1_random,0.0,0.0,0.0,0.0,0.6584216228228578,0.46306633752093107,0.29211273451621295,0.247644571125562,0.25588951618054395,0.2805060836274717,0.0
2019-09-02,b1_random,0.0,0.0,0.0,0.0,0.7931783422659094,0.5164886674257809,0.24949630298433254,0.33835107497156974,0.43298127693661415,0.4713786776207976,0.0
2019-09-09,b1_random,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8697155537054625,0.520072645276882,0.23269725774106437,0.4198115674939776,0.6054748126364458,0.5695168931132999,0.0
2019-09-16,b1_random,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.8415782223371188,0.5396784965445505,0.22330365621829165,0.4577014975601548,0.5947174999738251,0.5530658915738825,0.3333333333333333
2019-09-23,b1_random,0.3333333333333333,0.0,0.0,0.2,0.8548748989398842,0.6290713492464708,0.2052338768523001,0.43365143390817745,0.5523147761339348,0.5647361833525902,0.0
2019-09-30,b1_random,0.6666666666666666,0.0,0.0,0.1,0.9014436566100189,0.6140015317538984,0.2052728420864847,0.6215590441266607,0.6441442053356123,0.7047126908216221,0.0
2019-10-07,b1_random,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8887571839548692,0.6161282476919161,0.1933781909874015,0.589286024409845,0.6410719857920189,0.6721056975165347,0.0
2019-10-14,b1_random,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8952616472019131,0.6214017920236097,0.18696278356187757,0.5573344468993221,0.6293134965236801,0.6615930655927946,0.0
2019-10-21,b1_random,0.6666666666666666,0.3333333333333333,0.0,0.3,0.9022078360239049,0.6919383433871533,0.1630438379055487,0.5390668042217354,0.6766522846938128,0.6708719064354399,0.0
2019-10-28,b1_random,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8802734171849759,0.7098706509259195,0.15256225131231693,0.5723284668375286,0.590769411968263,0.6139441137589485,0.0
2019-11-04,b1_random,1.0,0.6666666666666666,0.0,0.2,0.8949460797748817,0.6977021583460269,0.1587332044014185,0.6657791838754334,0.6316585058273977,0.7206652612044736,0.0
2019-11-11,b1_random,1.0,0.6666666666666666,0.0,0.3,0.9119843979652857,0.6907017256083441,0.1503355166686084,0.6944936153677215,0.697259101084349,0.685212831417605,0.0
2019-11-18,b1_random,1.0,0.6666666666666666,0.0,0.2,0.9046259081895295,0.7405995590719883,0.12959452611515138,0.7363015879707641,0.6455751921489729,0.6633392171301292,0.0
