origin_week,construction,method,n_styles,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2020-02-17,ratio,global_mean,133,133,0.0,0.0,0.0,0.4,0.6441586723753465,0.5755195315289581,0.5620536630508368
2020-02-17,excess,lightgbm,133,133,0.3333333333333333,0.0,0.0,0.0,0.31502158262772845,-0.46912396323236855,1.0853176127496647
2020-02-17,excess,ewma_persistence,133,133,0.3333333333333333,0.0,0.0,0.0,0.23182616338140596,-0.6964834066169495,1.1192253434976152
2020-02-17,excess,parent_category_mean,133,133,0.3333333333333333,0.0,0.0,0.0,0.3425306636571891,-0.3292151681782475,1.3836175196398157
2020-02-17,excess,global_mean,133,133,0.3333333333333333,0.0,0.0,0.0,0.3281409368774882,-0.3369278011854603,1.5235343068568272
2020-02-17,residual,lightgbm,133,133,0.3333333333333333,0.3333333333333333,0.0,0.4,0.629661097508812,0.5766774466695912,1.0080600287887118
2020-02-17,residual,seasonal_naive,133,133,1.0,0.6666666666666666,0.3333333333333333,0.4,0.7280612246368743,0.4386611032329807,1.114887099695747
2020-02-17,residual,ewma_persistence,133,133,1.0,0.6666666666666666,0.0,0.5,0.727192822390558,0.3842952020485406,1.003874447689567
2020-02-17,residual,parent_category_mean,133,133,0.0,0.0,0.0,0.3,0.4608084537241245,0.3329796676222442,1.009846882303881
2020-02-17,residual,global_mean,133,133,0.0,0.0,0.0,0.3,0.46133567661021735,0.323486803848155,1.0070761549167213
2020-02-24,ratio,lightgbm,139,139,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.7251179048140375,0.7073059564770543,0.31020821533996057
2020-02-24,ratio,seasonal_naive,139,139,1.0,0.6666666666666666,0.3333333333333333,0.4,0.6801906366043459,0.6819384244157468,0.3980843601376599
2020-02-24,ratio,ewma_persistence,139,139,1.0,0.6666666666666666,0.3333333333333333,0.5,0.8148345879015977,0.5665087805531971,0.3634694959117676
