season,comparator,metric,n_origins,n_both_defined,model_mean,comparator_mean,mean_diff,ci_lo,ci_hi,ess_ac,ess_boot,THIN
autumn,parent_category_mean,precision_at_3,11,11,0.0,0.0,0.0,0.0,0.0,11.0,11.0,false
autumn,parent_category_mean,precision_at_10,11,11,0.08181818181818183,0.0,0.08181818181818183,0.0,0.17272727272727273,6.268817204301076,5.175681548521435,false
autumn,parent_category_mean,ndcg_at_10,11,11,0.7873267072966154,0.20990851690868845,0.577418190387927,0.5201477210368587,0.6325310190989387,5.05104504431851,7.041213263886371,false
autumn,parent_category_mean,spearman_rho,11,11,0.5409508936802263,0.2013278564181383,0.33962303726208803,0.29281243230545534,0.3797110579522167,5.611082265790805,6.488664970365553,false
autumn,parent_category_mean,wmape,11,11,0.24998127148595384,0.28383057274497153,-0.03384930125901769,-0.06199636808867986,-0.005954054194745186,4.618250263445727,5.918481688217437,true
autumn,global_mean,hit_at_3_in_top20,11,11,0.2121212121212121,0.0,0.2121212121212121,0.0,0.4242424242424242,5.697841726618704,6.1377127610300475,false
autumn,global_mean,hit_at_3_in_top10,11,11,0.1212121212121212,0.0,0.1212121212121212,0.0,0.24242424242424246,8.901734104046241,6.603666278310556,false
autumn,global_mean,precision_at_3,11,11,0.0,0.0,0.0,0.0,0.0,11.0,11.0,false
autumn,global_mean,precision_at_10,11,11,0.08181818181818183,0.0,0.08181818181818183,0.0,0.17272727272727273,6.268817204301076,5.175681548521435,false
autumn,global_mean,ndcg_at_10,11,11,0.7873267072966154,0.2131404399307975,0.5741862673658179,0.513903232381012,0.6253607962909926,4.918658349244563,5.840019796243719,true
autumn,global_mean,spearman_rho,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
autumn,global_mean,wmape,11,11,0.24998127148595384,0.3405506196532571,-0.09056934816730335,-0.1210305226100688,-0.05931573366709367,4.661054269655016,5.870403047589666,true
autumn,random_floor,hit_at_3_in_top20,11,11,0.2121212121212121,0.0015151515151515152,0.21060606060606057,0.0,0.4196969696969697,5.663852171468829,6.138670283442785,false
autumn,random_floor,hit_at_3_in_top10,11,11,0.1212121212121212,0.0015151515151515152,0.11969696969696969,0.0,0.23939393939393938,8.943155952929974,6.651569462259689,false
autumn,random_floor,precision_at_3,11,11,0.0,0.0015151515151515152,-0.0015151515151515152,-0.004545454545454546,0.0,11.0,11.0,false
autumn,random_floor,precision_at_10,11,11,0.08181818181818183,0.003181818181818182,0.07863636363636363,-0.00409090909090909,0.16954545454545455,6.2747957049526715,5.109217204346781,false
autumn,random_floor,ndcg_at_10,11,11,0.7873267072966154,0.3859857375031968,0.4013409697934186,0.3362235119979803,0.4629856591787888,4.862273056171023,6.167680453945167,true
autumn,random_floor,spearman_rho,11,11,0.5409508936802263,0.0008339881614202096,0.5401169055188061,0.4961610207151647,0.5715623934539632,6.688199612645988,6.5700431683273095,false
autumn,random_floor,wmape,11,11,0.24998127148595384,0.5008651467003191,-0.2508838752143653,-0.2885954663753853,-0.2120908129217022,4.635474564347862,5.3120143095813335,true
winter,seasonal_naive,hit_at_3_in_top20,13,13,0.4871794871794871,0.3076923076923077,0.1794871794871795,0.15384615384615385,0.358974358974359,13.0,13.0,false
