origin_week,method,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3,status
2020-03-16,champion,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8567323372975104,0.7852323345038295,0.15185633203945767,0.5253162957861987,0.5696057871278872,0.608328738174204,0.0,EXPLORATORY
2020-03-23,champion,0.0,0.0,0.0,0.3,0.866944819186024,0.780387802139157,0.13615972642637775,0.4090405953952735,0.6237990211701658,0.6416006193630935,0.0,EXPLORATORY
2020-03-30,champion,1.0,0.6666666666666666,0.3333333333333333,0.4,0.9406486928097021,0.792688897387212,0.12376454903684135,0.8766414152806649,0.7614756938622356,0.7539037760631316,0.6666666666666666,EXPLORATORY
2020-04-06,champion,1.0,0.6666666666666666,0.3333333333333333,0.4,0.9647581431933727,0.8079268817049481,0.12438585324529108,0.8977189112777277,0.8490794219213783,0.792622838898727,0.6666666666666666,EXPLORATORY
2020-04-13,champion,1.0,1.0,0.6666666666666666,0.5,0.9695520501443672,0.795489110952801,0.10864354838446123,0.9974580759100382,0.8473531989353571,0.7910573327260071,1.0,EXPLORATORY
2020-04-20,champion,1.0,0.6666666666666666,0.0,0.3,0.9367841196175813,0.7869176733306154,0.1163083610734886,0.8775605693279117,0.7273440788137768,0.803837324743526,0.6666666666666666,EXPLORATORY
2020-04-27,champion,0.3333333333333333,0.3333333333333333,0.0,0.3,0.9311396126420414,0.7828304626409217,0.11744474731325644,0.7026211144387923,0.7607321941957041,0.7427551549362356,0.3333333333333333,EXPLORATORY
2020-05-04,champion,0.3333333333333333,0.3333333333333333,0.0,0.3,0.9432955018671791,0.834310939268553,0.11048308099670184,0.7379733671852953,0.7882440289398427,0.8139825976780277,0.0,EXPLORATORY
2020-05-11,champion,0.6666666666666666,0.0,0.0,0.1,0.9376909829616268,0.8321683854008995,0.10555246504390751,0.740972883818057,0.7611137260858499,0.8197286237254733,0.0,EXPLORATORY
2020-05-18,champion,0.3333333333333333,0.0,0.0,0.0,0.9087365886075495,0.837034534711313,0.1187493302905249,0.6511274405080117,0.6732055537007797,0.7963511061849619,0.0,EXPLORATORY
2020-05-25,champion,0.0,0.0,0.0,0.1,0.8937716896000026,0.8336484743422927,0.12355534262143301,0.604823894954479,0.6518440410263501,0.7444817115076693,0.0,EXPLORATORY
2020-06-01,champion,0.0,0.0,0.0,0.1,0.8684170758615759,0.821579124001726,0.1116944072539325,0.42477595702993215,0.5975351163994581,0.64403212785294,0.0,EXPLORATORY
2020-06-08,champion,0.0,0.0,0.0,0.1,0.8781447286761365,0.809523907883246,0.10413053705235645,0.4571184768982229,0.6181911667264852,0.6387713079532477,0.0,EXPLORATORY
2020-06-15,champion,0.0,0.0,0.0,0.1,0.8472566876520685,0.7989215571930902,0.12546113301615175,0.406363385798656,0.5347435454960914,0.5773190981844505,0.0,EXPLORATORY
2020-06-22,champion,0.0,0.0,0.0,0.0,0.8023587625931585,0.7422134078608592,0.1641678840195351,0.3306859561561811,0.45550580793074025,0.4868611048823226,0.0,EXPLORATORY
2019-07-29,a,0.0,0.0,0.0,0.0,0.6896022927619079,0.523571308911662,0.2844666857839487,0.22080292625475886,0.23417845423310293,0.24286775547779432,0.0,EXPLORATORY
2019-08-05,a,0.0,0.0,0.0,0.0,0.6626834098359636,0.524747294572948,0.27929179803272836,0.2028058994499593,0.21691374911113706,0.2549398457677499,0.0,EXPLORATORY
2019-08-12,a,0.0,0.0,0.0,0.0,0.7088785024083372,0.5220126025640265,0.2874708371446523,0.3051848538381898,0.26686735690520447,0.26256715248573265,0.0,EXPLORATORY
2019-08-19,a,0.0,0.0,0.0,0.0,0.7564695084855119,0.4946752839596698,0.29025660359853783,0.34605604928378403,0.3312028509537583,0.30673842840656007,0.0,EXPLORATORY
2019-08-26,a,0.0,0.0,0.0,0.0,0.6970395349519822,0.4677012285677382,0.2899316281454563,0.2565024637249809,0.27221049720200147,0.3070076888777057,0.0,EXPLORATORY
2019-09-02,a,0.0,0.0,0.0,0.1,0.7632844945360676,0.5171164483880226,0.24877550735717285,0.3406498108522734,0.4184336179515357,0.39940450747306017,0.0,EXPLORATORY
2019-09-09,a,0.3333333333333333,0.3333333333333333,0.0,0.2,0.83063926414564,0.5275198795198122,0.23073732325814414,0.4191765314703408,0.5357653899591062,0.5393822358146739,0.0,EXPLORATORY
2019-09-16,a,0.3333333333333333,0.3333333333333333,0.0,0.2,0.791306387280459,0.5290745464185077,0.2256351493412384,0.3876863536934208,0.4896919174771208,0.44848474920252784,0.0,EXPLORATORY
2019-09-23,a,0.3333333333333333,0.0,0.0,0.1,0.8204602156372472,0.6182925727685396,0.21053651849718868,0.43513453300269517,0.510424913656468,0.5108057254799645,0.0,EXPLORATORY
