density,block_length,comparator,metric,n_origins,ess_ac,ess_boot,mean_diff,ci_lo,ci_hi
grid_4w,4,random_floor,ndcg_at_10,12,11.918365800393877,12.0,0.4764252058815385,0.4548161450581096,0.526331631333043
grid_4w,4,random_floor,spearman_rho,12,5.567968627108948,8.353160312122975,0.7115795358992919,0.636785994204342,0.7914690933835756
grid_4w,4,random_floor,wmape,12,7.00904032434903,10.695720759564091,-0.318046097623289,-0.35993758895743877,-0.29237851622832806
weekly_1w,13,seasonal_naive,hit_at_3_in_top20,48,15.310426540284357,15.301803118566209,0.09523809523809526,-0.03968253968253968,0.2777777777777778
weekly_1w,13,seasonal_naive,hit_at_3_in_top10,48,18.827586206896548,16.71281826834164,2.64338815386942e-18,-0.08730158730158728,0.1587301587301587
weekly_1w,13,seasonal_naive,precision_at_3,48,32.962563237774035,23.308206840340407,-0.023809523809523808,-0.10317460317460317,0.047619047619047616
weekly_1w,13,seasonal_naive,precision_at_10,48,41.71325186044924,35.588068873780614,0.011904761904761908,-0.023809523809523808,0.04523809523809524
weekly_1w,13,seasonal_naive,ndcg_at_10,48,6.133737762375788,6.386002181659842,0.12959223747804227,0.07979014947855802,0.22599902486984708
weekly_1w,13,seasonal_naive,spearman_rho,48,9.17995368370381,22.90738265780199,0.19989955771452939,0.19188678303052234,0.24072740499516923
weekly_1w,13,seasonal_naive,wmape,48,8.511919225521744,23.875720163631083,-0.04121114202856945,-0.0546789506446948,-0.03394688860257966
weekly_1w,13,ewma_persistence,hit_at_3_in_top20,48,33.956145030693065,36.16681661375877,0.1597222222222222,0.11111111111111112,0.27100694444444345
weekly_1w,13,ewma_persistence,hit_at_3_in_top10,48,16.552597891069382,13.040516832474403,0.09722222222222222,-0.027777777777777776,0.25
weekly_1w,13,ewma_persistence,precision_at_3,48,33.85594013096353,31.64290596198729,0.041666666666666664,0.006944444444444444,0.09722222222222221
weekly_1w,13,ewma_persistence,precision_at_10,48,18.581723837289083,15.075314481833585,0.035416666666666666,-0.014583333333333332,0.08541666666666665
weekly_1w,13,ewma_persistence,ndcg_at_10,48,8.354336047007491,9.199577083174756,0.06185110935424102,0.03155366640739977,0.09883299195202148
weekly_1w,13,ewma_persistence,spearman_rho,48,8.196283180686601,12.835304046508623,0.1162035180907186,0.09309982316626449,0.1709972314813197
weekly_1w,13,ewma_persistence,wmape,48,10.195073138885295,25.613802278728084,-0.02995413351877661,-0.044906363022704864,-0.028492272186971805
weekly_1w,13,parent_category_mean,hit_at_3_in_top20,48,20.626230498238552,35.38463122512931,0.3958333333333333,0.36111111111111116,0.5902777777777778
weekly_1w,13,parent_category_mean,hit_at_3_in_top10,48,14.973810116288318,17.098349512213805,0.2569444444444444,0.20138888888888887,0.45156249999999903
weekly_1w,13,parent_category_mean,precision_at_3,48,31.306944959937134,29.93100724454126,0.048611111111111105,0.013888888888888888,0.10416666666666667
weekly_1w,13,parent_category_mean,precision_at_10,48,14.001612273366057,13.26070652509586,0.15208333333333332,0.10416666666666667,0.25
weekly_1w,13,parent_category_mean,ndcg_at_10,48,9.302691104983788,7.421281657237282,0.5967451043648823,0.46897630831348136,0.7037839233083288
weekly_1w,13,parent_category_mean,spearman_rho,48,6.75284238613748,13.097557873566199,0.46334945075173367,0.4218183605216206,0.509821898439245
weekly_1w,13,parent_category_mean,wmape,48,7.994916937586601,16.837433968240184,-0.07996961851924726,-0.10112106388000358,-0.06955928896146696
weekly_1w,13,global_mean,hit_at_3_in_top20,48,18.332387826669827,45.89196333556718,0.4305555555555555,0.40972222222222215,0.6180555555555555
weekly_1w,13,global_mean,hit_at_3_in_top10,48,13.106772586508683,15.441390991385367,0.27777777777777773,0.20833333333333334,0.4930555555555555
weekly_1w,13,global_mean,precision_at_3,48,31.306944959937134,29.93100724454126,0.048611111111111105,0.013888888888888888,0.10416666666666667
weekly_1w,13,global_mean,precision_at_10,48,14.180403536613014,17.335933460512237,0.16874999999999998,0.1395833333333333,0.2604166666666667
weekly_1w,13,global_mean,ndcg_at_10,48,7.535654786024618,13.1195737142059,0.6656974401797616,0.6412680177218918,0.7155667204906508
weekly_1w,13,global_mean,spearman_rho,48,0.0,0.0,NaN,NaN,NaN
weekly_1w,13,global_mean,wmape,48,8.112582870651611,16.952895287080224,-0.14010913122130775,-0.1640273404172356,-0.1290314573403968
weekly_1w,13,random_floor,hit_at_3_in_top20,48,18.530097061446533,47.992021966933635,0.425,0.40902777777777777,0.6069965277777775
weekly_1w,13,random_floor,hit_at_3_in_top10,48,13.185605770496771,15.721533766121071,0.2736111111111111,0.20694444444444446,0.48611979166666663
weekly_1w,13,random_floor,precision_at_3,48,32.65153806526126,31.09428219997381,0.04618055555555555,0.011458333333333333,0.1017447916666666
weekly_1w,13,random_floor,precision_at_10,48,14.21623872066597,17.441313925518468,0.16520833333333332,0.1363515625,0.2562526041666667
weekly_1w,13,random_floor,ndcg_at_10,48,11.550753342835579,32.074171715330195,0.46625904024362236,0.4595167076618744,0.5066648708818778
weekly_1w,13,random_floor,spearman_rho,48,5.617832429945652,8.728480552680196,0.7096330261964692,0.6393195718808885,0.7795014951621149
weekly_1w,13,random_floor,wmape,48,7.497811355873856,12.967943701511714,-0.3187835228666011,-0.35655938955346317,-0.30062497399097665
weekly_1w_block4,4,seasonal_naive,hit_at_3_in_top20,48,15.310426540284357,24.378123803986675,0.09523809523809526,-0.023809523809523808,0.246031746031746
weekly_1w_block4,4,seasonal_naive,hit_at_3_in_top10,48,18.827586206896548,19.14838290962816,2.64338815386942e-18,-0.09523809523809523,0.12698412698412698
weekly_1w_block4,4,seasonal_naive,precision_at_3,48,32.962563237774035,17.38257888595453,-0.023809523809523808,-0.11111111111111109,0.06349206349206349
weekly_1w_block4,4,seasonal_naive,precision_at_10,48,41.71325186044924,21.845611407916778,0.011904761904761908,-0.030952380952380946,0.05714285714285714
weekly_1w_block4,4,seasonal_naive,ndcg_at_10,48,6.133737762375788,12.864865107636101,0.12959223747804227,0.0906453796926718,0.1917976764865871
weekly_1w_block4,4,seasonal_naive,spearman_rho,48,9.17995368370381,16.532617256866686,0.19989955771452939,0.17580844355545192,0.23202441409073635
weekly_1w_block4,4,seasonal_naive,wmape,48,8.511919225521744,16.594962423237657,-0.04121114202856945,-0.05468445659715328,-0.029692412066772655
weekly_1w_block4,4,ewma_persistence,hit_at_3_in_top20,48,33.956145030693065,23.20444987890858,0.1597222222222222,0.06250000000000001,0.2708333333333333
weekly_1w_block4,4,ewma_persistence,hit_at_3_in_top10,48,16.552597891069382,19.830254497607005,0.09722222222222222,-0.0069444444444444475,0.21527777777777776
weekly_1w_block4,4,ewma_persistence,precision_at_3,48,33.85594013096353,27.461370120326958,0.041666666666666664,0.006944444444444444,0.10416666666666664
weekly_1w_block4,4,ewma_persistence,precision_at_10,48,18.581723837289083,19.62032847567577,0.035416666666666666,-0.008333333333333333,0.07916666666666668
weekly_1w_block4,4,ewma_persistence,ndcg_at_10,48,8.354336047007491,13.617224245654807,0.06185110935424102,0.034157584964461606,0.09004977345488158
weekly_1w_block4,4,ewma_persistence,spearman_rho,48,8.196283180686601,16.680525810525307,0.1162035180907186,0.08776757972451744,0.15550140538688087
weekly_1w_block4,4,ewma_persistence,wmape,48,10.195073138885295,23.123413154231496,-0.02995413351877661,-0.04104786930421251,-0.024250788143671397
weekly_1w_block4,4,parent_category_mean,hit_at_3_in_top20,48,20.626230498238552,21.656802799373025,0.3958333333333333,0.27777777777777773,0.5694444444444444
weekly_1w_block4,4,parent_category_mean,hit_at_3_in_top10,48,14.973810116288318,20.428774163339494,0.2569444444444444,0.1597222222222222,0.3958333333333333
weekly_1w_block4,4,parent_category_mean,precision_at_3,48,31.306944959937134,24.502532159469443,0.048611111111111105,0.006944444444444444,0.1111111111111111
weekly_1w_block4,4,parent_category_mean,precision_at_10,48,14.001612273366057,16.352360794738573,0.15208333333333332,0.09791666666666667,0.23124999999999998
weekly_1w_block4,4,parent_category_mean,ndcg_at_10,48,9.302691104983788,13.473160710792923,0.5967451043648823,0.5079539513519473,0.6831841759570223
weekly_1w_block4,4,parent_category_mean,spearman_rho,48,6.75284238613748,13.763044439709796,0.46334945075173367,0.41988235137436275,0.5062191961761325
weekly_1w_block4,4,parent_category_mean,wmape,48,7.994916937586601,18.483080613955313,-0.07996961851924726,-0.0970233367061729,-0.06686307550066364
weekly_1w_block4,4,global_mean,hit_at_3_in_top20,48,18.332387826669827,22.45795054735028,0.4305555555555555,0.31927083333333334,0.6041666666666666
weekly_1w_block4,4,global_mean,hit_at_3_in_top10,48,13.106772586508683,18.85786863114112,0.27777777777777773,0.17361111111111108,0.4305555555555555
weekly_1w_block4,4,global_mean,precision_at_3,48,31.306944959937134,24.502532159469443,0.048611111111111105,0.006944444444444444,0.1111111111111111
weekly_1w_block4,4,global_mean,precision_at_10,48,14.180403536613014,17.432654085666513,0.16874999999999998,0.12083333333333333,0.23958333333333334
weekly_1w_block4,4,global_mean,ndcg_at_10,48,7.535654786024618,16.70073187092586,0.6656974401797616,0.6362648583545611,0.7028225103007577
weekly_1w_block4,4,global_mean,spearman_rho,48,0.0,0.0,NaN,NaN,NaN
weekly_1w_block4,4,global_mean,wmape,48,8.112582870651611,18.657075343198237,-0.14010913122130775,-0.15961877365669533,-0.12603428597241398
weekly_1w_block4,4,random_floor,hit_at_3_in_top20,48,18.530097061446533,22.679025056566466,0.425,0.31210937499999997,0.5958420138888888
weekly_1w_block4,4,random_floor,hit_at_3_in_top10,48,13.185605770496771,18.880407260808983,0.2736111111111111,0.1704861111111111,0.42327256944444436
weekly_1w_block4,4,random_floor,precision_at_3,48,32.65153806526126,24.77827563792936,0.04618055555555555,0.0038107638888888883,0.10868055555555554
weekly_1w_block4,4,random_floor,precision_at_10,48,14.21623872066597,17.37305211130486,0.16520833333333332,0.11728125,0.23615104166666667
weekly_1w_block4,4,random_floor,ndcg_at_10,48,11.550753342835579,20.60242312703412,0.46625904024362236,0.44308815225535353,0.5001490812936639
weekly_1w_block4,4,random_floor,spearman_rho,48,5.617832429945652,13.11509307586355,0.7096330261964692,0.6542353925659756,0.7690547389057226
weekly_1w_block4,4,random_floor,wmape,48,7.497811355873856,17.26338734616957,-0.3187835228666011,-0.34670683777385425,-0.2989568546546623
