design,split,metric,model_a,model_a_ci_lo,model_a_ci_hi,model_b,model_b_ci_lo,model_b_ci_hi,diff,ci_lo,ci_hi,n_origins,directional_only,verdict
purged,all_noncovid,precision_at_10,0.23846153846153845,0.11538461538461539,0.3617307692307683,0.13846153846153847,0.061538461538461535,0.16923076923076924,-0.09999999999999999,-0.2846153846153846,0.015384615384615384,13,false,no_difference
purged,all_noncovid,ndcg_at_10,0.8741610901360828,0.7999728548783201,0.9299714012414492,0.8417964663280462,0.795909382490213,0.8528692380737296,-0.03236462380803663,-0.08411432874809571,0.0023059445362422237,13,false,no_difference
purged,all_noncovid,spearman_rho,0.7290011865053919,0.6865637296468169,0.7764565232364761,0.6727785542546876,0.6177579467543335,0.705338966511442,-0.05622263225070435,-0.12611077323631711,-0.014642920210671075,13,false,covid_data_helped
purged,all_noncovid,wmape,0.14922839731495213,0.1274553975684487,0.18041814110553173,0.17192398805495898,0.16359061971780212,0.19385109041019488,0.02269559074000687,0.008047102775082596,0.044807142226921455,13,false,covid_data_helped
walk_forward,shared_noncovid,hit_at_3_in_top20,0.6666666666666666,0.4666666666666666,0.7999999999999999,0.6666666666666666,0.4666666666666666,0.7999999999999999,0.0,0.0,0.0,5,true,no_difference
walk_forward,shared_noncovid,hit_at_3_in_top10,0.4666666666666667,0.4,0.5333333333333334,0.4666666666666667,0.4,0.5333333333333334,0.0,0.0,0.0,5,true,no_difference
walk_forward,shared_noncovid,precision_at_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,true,no_difference
walk_forward,shared_noncovid,precision_at_10,0.27999999999999997,0.18,0.31999999999999995,0.27999999999999997,0.18,0.31999999999999995,0.0,0.0,0.0,5,true,no_difference
walk_forward,shared_noncovid,ndcg_at_10,0.8684470243066247,0.8141197183600394,0.9151709774806802,0.8684470243066247,0.8141197183600394,0.9151709774806802,0.0,0.0,0.0,5,true,no_difference
walk_forward,shared_noncovid,spearman_rho,0.7805980178314699,0.7540136805355638,0.7941105832794777,0.7805980178314699,0.7540136805355638,0.7941105832794777,0.0,0.0,0.0,5,true,no_difference
